メンバー,レアリティ,カード名,リンク,入手時,特訓時,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
藤島慈,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,……ん……うん……？……あなただぁれ……？え？旅人さん？わぁ、珍しい。外から人が来るなんて。よくここまでこれたね。……そっか、何かに導かれて……じゃあよっぽど会いたい子がいたのかな？ふふっ、いいよ、私が遊んであげる。私を見つけてくれたご褒美。あれ～？ひょっとして、どきどきしてる？ふふっ、おいで。,ふぁ～……もうこんな時間。ずいぶん暗くなっちゃったね。今日はすっごく楽しかったよ、つきあってくれてありがと。こんな村でしょ？刺激的なことも少ないから、毎日寝てばっかり。ま、そこも気に入ってるんだけどね。門番ちゃんも一生懸命頑張ってるし。私のお仕事は、頑張る子をよしよしする癒し係、みたいな？あ、キミもよしよししてもらいたそうにしてるね？ふふっ、いいよ。いっぱい頑張ったんだもんね。よしよし、よしよーし。……眠くなってきちゃった？このまま目を閉じていいよ。私がよしよししてあげるから。,世界樹は今日も平和なのだよ,ほーら、よしよし,慈「村長ちゃんてば、頑張り屋さん。」瑠璃乃「ちゃんとお仕事しようね、ね！」,癒し係だって、必要でしょ？
藤島慈,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,おっはよー、マイエンジェル！もう寝坊助すぎだよー。私はキミがいなくてつまんなかったんだからねー。……夢見てた？えー、珍しい。何の夢見てたの？……「私たちがスクールアイドルをやってた」なにそれ。歌ったり踊ったりしてみんなを楽しませる……ってそれ私たち天使と一緒じゃん！なんだよー、もう。だったら夢の世界じゃなくて、こっちでいっぱい遊べばいいのに。ほらほら何する何する？何して遊ぶ？……え？「眠ってた間のお仕事の報告」……。……うーん……えっとね……。……まぁいいじゃんそういう話は！また後で！私の相方のくせに、どうしてそんなに真面目になっちゃったかなー。るりちゃんの影響かー？……ああもう！わかったてばー！先にお仕事、お仕事ね！,,マイエンジェル、レッツゴー！,相方ちゃん、頑張れ頑張れ♡,慈「天使ですわよ～」瑠璃乃「て、天使だぞ～！ガオー！！」姫芽「天使ですにゃ～ん！」,そんなに気に入った？ご主人様♡
藤島慈,LR,やっぱ天使！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%84%E3%81%A3%E3%81%B1%E5%A4%A9%E4%BD%BF%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,藤島慈、光の中から参上～！ハロめぐ～！どう、みんな元気してる？私はこの通り、過去最高のカワイイ偏差値、更新中だよ。今回はね、梢のソロ曲、綴理のソロ曲に加えて、私のソロ曲を初披露したんだけどどうだったかな？三者三様、って言うんでしょ？合ってるよね？うん、そう！みんなの個性がこれでもかと発揮されたソロ曲になったんじゃないかな？ま、みんなが一番好きなのは私の曲だって、もちろん分かってるけどね！,今までみんなに黙ってたことがあるんだ。私、本当はね……でけでけでけでけ……でん！愛の天使、めぐエルちゃんだったのです！…え、知ってた？配信で聞いたことがある？…あらあら、熱心なめぐ党さんですねえ～。いいこいいこ。私はね、この人間界に使命を持ってやって来たんだ。それは沢山の人たちに愛を伝えること。スクールアイドルクラブの三年間で、私の目標はすっごく達成された……と思ってたんだけどね。足りない足りない。まだまだ足りな～い！私を呼ぶその声が聞こえてくる限り、何度だってステージに舞い戻ってきちゃうからね♡嬉しい？幸せ？ふふっ、私もだよ♡なんたってめぐエルちゃんってば、ほら、やっぱ天使！だからね！,大きな声で、せ～のっ！め～ぐちゃ～ん♡,アンコール、いっくよ～！！,,推しさまのお出ましだ～い☆
藤島慈,LR,On your mark/102,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOn%20your%20mark%EF%BC%8F102%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,行くよ、あんたたち！伝説の幕上けだ～！102期生始まりの曲、私たち1年生の力を結集して作った『On your mark』はどうだった？最高？それとも最強？ふっふっふ、でしょでしょ～？いやー無事お披露目できてよかったよ。ほんとに大変だったんだから。てか見てよ。この曲とダンス。乙宗……ううん、梢と綴理と一緒に考えたんだけどさ、二人とも普段はめちゃめちゃコミュ力低いくせに、言いたいことはぜーんぶ曲にぶち込んできてるんだから。もっとちゃんと口でも言えっての！まったく、不器用なやつら！ふふっ。,私、わかっちゃったんだよね！めぐちゃんってただ可愛いだけじゃなくて、歌はまるで天使みたいで、ダンスもすごく上手でしょ？だったらもう、スクールアイドルやらないこと自体が世界にとって損失じゃない？って。まあ今はまだ始めたばっかりだけどさ、この調子でいけばもう最高で最強のスクールアイドルになっちゃうこと間違いなしだよね！今から推しておいた方がいいと思うよ～？そしたらだって、3年間余すところなく推せるんだから、さ！というわけで、ここで宣言しちゃうよ。こほん、私の夢は……「世界中を夢中にすること」！金沢とか石川とか、そんなのちっちゃいちっちゃい！私の野望は世界中だから！覚えててね！それじゃあみんな、ライブ、With×MEETS、そしてこれからも無敵の蓮ノ空女学院スクールアイドルクラブをよろしく～！ばいばーい☆,ほらほら、もうやるっきゃない！でしょ？,蓮ノ空に藤島慈あり、ってね！,慈「蓮ノ大三角、藤島慈で～す！」梢「大層な名前ね……」綴理「ボクは嬉しい。」,信じてるよ。私は私のことも、あんたたちのこともね！
藤島慈,BR,18th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB18th%20Birthday%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,藤島慈だよ。今日はね、ふふっ！国民の休日にするからね！というわけで、めぐ党のみんなー！ハピバめぐ～！世界一かわいい、めぐちゃんの18歳のお誕生日だよ～！ああすごい！大統領からもお祝いのメッセージが！まあ、来てないんだけど。でもそんな顔も名前も知らない人より、めぐ党さんからのお祝いの方がずっと、ずーっと、嬉しいもんねー！らーぶ！,昔々あるところに、藤島慈という、それはもう天使のように可愛い女の子がおりました。慈はお姫様のように、たくさんの人に愛されて育ちました。持ち前の知恵と勇気と可愛さを武器に、あっちでもこっちでも大活躍。日本一のタレントの座は、もう目の前でした。しかし、そんな慈の前に1人の魔女が現れました。魔女によって暗ーい蓮ノ空に囚われてしまった慈は、悲しみました。これじゃあ世界中を夢中になんてできないよ～！それでもめげず、慈は頑張ります。スクールアイドルクラブに入部し、歌にダンス、配信と、一生懸命頑張りました。そして今、再びこうして、慈はまたたくさんの人に愛されるようになったのです。……本当に、みんな私のことを見つけてくれて、ありがとうね。これから先、来年も……ううん、もっともっとその先まで、みんながずーっとお祝いしてくれるように、私は光の道を走り続けていくから。世界は、藤島慈に夢中に！これからも、目を離さないでね！,世界で一番めでたい日を、始めよう！,ロウソク消すよ？ふ～,,今日は一日中私のことだけ考えて？ね？
藤島慈,UR,365 Days,https://wikiwiki.jp/llll_wiki/%EF%BC%BB365%20Days%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,いえーい！東京満喫中のめぐちゃんでーす！今日は友達と原宿にきてまーす。まぁ、東京はしょっちゅう来ているんだけどね。でも修学旅行って言うのはやっぱ一味違うかな？ん－、スカウトの人？だめだめ、また今度ね。めぐちゃん今プライベート中でーす！,,アンコール行くよ！みんなー！,全部出し切っちゃえー！,慈「今この瞬間を、永遠に！」梢「Bloom the dream！」,最高の夢を見せてあげるから！
藤島慈,UR,夏めきペイン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%8F%E3%82%81%E3%81%8D%E3%83%9A%E3%82%A4%E3%83%B3%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,みんな、お待たせ！めぐちゃんのきゃわいいきゃわいい、水着ショットだよ！海も空も砂浜も、目に入らないでしょ？それでいーのっ！,,私たちの夏だー！,水着アピール♡,慈「白くて眩しくて！」瑠璃乃「私たちのステージだ！」,目を離さないでねっ
藤島慈,UR,PASSION!!!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPASSION%21%21%21%21%21%21%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,これがみらぱリーダーの実力だー！よりにもよって、ゲームセンターでるりちゃんの大好きなチャウチャウを見つけちゃったからね、全く。……ほんとに、どうしてこんなのが可愛いんだか……しょうがない、今日の記念に私がプレゼントしてあげよう！はい、どうぞ♪ そんなに喜んでもらえたら、頑張った甲斐があったねぇ。うん？名前？『めぐチャウ』って付ける……？それはー……ナシかな♪,,ほーら、おいで。一緒に涼も？,クラっとしちゃえー！,慈「さ、私の水着の感想を、どうぞ？」梢「可愛いと思うわよ……相変わらず。」,今年の夏も、写真に残していってね！
藤島慈,UR,アイデンティティ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,ほーら、頑張れ頑張れ。Fes×LIVEに向けての衣装作り、私は昔から小物作ったりするの好きだから、こういうのどう？って見せてみたんだけど。そしたらるりちゃんめっちゃ真剣になってさ。えへへっ、二人で何かできるのって、嬉しいな。,,キミも一緒に、叫ぶのだ！,やっぱ楽しく！,慈「まずは笑顔の、オーディション♪」瑠璃乃「うう～ん、優勝！」,笑っていこうねー！
藤島慈,UR,喫茶ハスノソラ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%96%AB%E8%8C%B6%E3%83%8F%E3%82%B9%E3%83%8E%E3%82%BD%E3%83%A9%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,笑って笑ってー？はい、フラワー！今日はねー、暇そうにしてた後輩を誘って、今、金沢一の映えスポットと呼ばれるカフェに来ていまーす！やっぱJKはトレンドを追っかけなくっちゃ！って、そんな喜んでくれる？よっしゃ、だったら次は私のとっておきに連れてってあげよう！,,はーい、一名様ごあんなーい！,ドキドキをどうぞ！,慈「さやかちゃん可愛いから時給アップ♪」さやか「そんなシステムありませんよね！？」,当店自慢のメニューは…私かな！
