メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
セラス 柳田 リリエンフェルト,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,○○○○○○,○○○○○○,,,"わたしは""FUTURE""。切り開く者。",新米ですけど、頑張ります。,○○○○○○,あなたとわたし、一心同体だよ。
セラス 柳田 リリエンフェルト,BR,16th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB16th%20Birthday%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,ハピバハピバハピバハピバー！みんなー！6月26日と言えばー？そう、露天風呂の日です！ぶぶー！正解は、せっちゃんのお誕生日でーす！わーーーー！16歳になりましたー、祝って祝ってー。えへへ、ありがとー。なんとなんと、桂城泉さんと同い年です。やっぱりね「同い年オーラ」、出ちゃってるよね。「おー、泉。焼きそばパン買って来いよ。わたしは同い年だぞー？」……あ、同い年じゃダメか。じゃあわたし、今日は20歳ってことにします。せっちゃん20歳でーす。いぇーい！……すみません、嘘です。,わたしが覚えてる一番古い記憶は、3歳のお誕生日。小さな小さな子供用のバイオリンを、プレゼントしてもらったの。お父様とお母さまは、わたしに音楽を習わせたくって、何がいい？って聞いてきたんだけど、わたしが「絶対バイオリン！」って答えたんだって。何の影響だったんだろうね。ふふっ、忘れちゃった。それから毎日、毎日毎日練習して、コンクールに出場して、同い年の子を蹴散らして、ライバルと争って、全国に名前が知られて、それからまた練習して。このままプロになって、将来はバイオリンを片手に世界を回るんだって、無邪気に信じてたあの頃。バイオリンに触るのが辛かった日もあったけど……。でも、きっと幸せだった。……なんだか思い出しちゃった。なんでだろう。きっと、祝ってくれる人たちの声を聞いて、わたしが幸せだって、改めて思い出せたから、かな。ありがとね、みんな。わたしもみんなのこと、好きだよ！幸せになろうね！これからもずっと、永遠に！,,,セラス 柳田 せっちゃんちゃん、16歳でーす！,みんなー、わたしのこと、好き？ふふっ。,,わたしもね、みんなのこと、だーいすき！
セラス 柳田 リリエンフェルト,UR,Retrofuture,https://wikiwiki.jp/llll_wiki/%EF%BC%BBRetrofuture%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,もういいから…！泉、その、そのへんで、その……しゃーっ！やっぱりわたしの敵…！か、桂城泉！みなさん騙されないでください！あの人いかにも天然でやってるように見えるかもしれませんが！ぜんぶ計算済みです！わたしをからかえる隙を絶対に逃さないんですよ！許せないよぉ……！,,こんばんは。スクールアイドルクラブ4番目のユニット、Edel Noteでデビューしました。せっちゃんことセラスです。あの……すいません。蓮ノ空の伝統を重んじる方々。わたしも実は全然こうなるつもりじゃなくて……あのあの、すみません今を生きるのが精一杯でして……。でも、デビューした以上は1年間を凄まじい勢いでずばばばと駆け抜けるつもりですので、どうか応援していただけると嬉しいです。それでは歌いますいまは歌いません、Fes×LIVEで歌いました！ありがとうございます！ではまた！,気を取り直して。はい、Edel Noteのセラス 柳田 リリエンフェルトです。1年間の期間限定ですが、泉と二人でなんとかやっていこうと思います。1年経った後のことは……その時はまたその時考えます。行き当たりばったりですみません。はい。それで、今回の曲『Retrofuture』は大体わたしが作りました。作詞も作曲も好きです。自分の気持ちをこう、限界までギュギュっと詰め込んでいく作業が特に楽しいです。カッチカチのおにぎりを作るみたいな。泉はステージ作りとか手伝ってたり、あと人に聞きながら衣装作りとかやってくれました。さっそく知り合いがいっぱい増えたみたいです。どこに行っても上手くやる女……。でもまあ、大丈夫です。1年経った頃には、泉はスクールアイドルなしでは生きていけない奴になってるはずですので。ふっふっふ。というわけでやってやりますからね、蓮ノ空のこと好き好きクラブのみなさん。1年後の泉を、乞うご期待です！,Edel Note、いっくよ～！,わんわん、がおー！,セラス「いーずみっ♪すっごくかわいいよ！」泉「それで照れるのは難しいかな。」,桂城泉に勝つぞー！おー！
セラス 柳田 リリエンフェルト,UR,十六夜セレーネ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%8D%81%E5%85%AD%E5%A4%9C%E3%82%BB%E3%83%AC%E3%83%BC%E3%83%8D%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,ここで一句。「花明かり　紫陽花ソナタ　袖しずく」どうも、自然と言葉が零れてしまいました。蓮ノ空の詩人系女子、せっちゃんです。金沢はよく雨が降りますね。こんな日は、花ちゃんの笑顔が恋しいです。『あたしもせっちゃんに会いたいよ～！』「ほんと？花ちゃん！えへへっ、わたしたち、水と魚だね。」,,『十六夜セレーネ』は、わたしが蓮ノ空に来て作った1600曲目の曲になります。すいません、ちょっと言いすぎました。さらに言えば、わたし一人で作ったわけでもありません。今回はかなり泉が作ってくれました。情熱的ですよね。いっぱい「愛」って言葉が出てきます。ふーん？まあ、いいんじゃん？……はっ！いや、同じユニット同士で僻んでも仕方ありません。二人で作った曲です。衣装のイメージはずばり、ヒロインと悪役令嬢です！こっちは割と泉が作ってくれました。「先月やって衣装作りは慣れた」って言ってました。いや、上手になるの早すぎ……天才か……？,皆さん知ってましたか？蓮ノ空には3つの文化祭があるんですよ。凄いですね。その中でも6月は撫子祭が開かれるということで、わたしにも使命が与えられました。スクールアイドルクラブの紹介記事を書くお役目です。なんでも、代々1年生がやるみたいです。一昨年は花ちゃんとさやか先輩がやったみたいです。たくさん愛が綴られてました。去年の記事はなんか、「みらぱ！神！」ってでっかく書いてました。フリーダムな高校ですね。わたしもひと笑い欲しくてちょける気満々だったんですが、できませんでした。ものすごく真剣に書いてしまった……。でも、なぜか笑いは取れました。なぜ？蓮ノ空はさいきょーなのに……！新たに生まれた「蓮ノ三連華」もこれから推していこうと思います。それでは皆さん、お手を拝借して……。さあご一緒に、蓮ノ空、さいきょー！,わたしの愛を感じてくれますか？,やだ…わたし白似合いすぎ……？,セラス「♪でも 愛……愛して……る……」泉「セラス、顔が赤いよ。」,終わり知り　なお抱き合う　月の舞
セラス 柳田 リリエンフェルト,UR,フュージョンクラスト,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3%E3%82%AF%E3%83%A9%E3%82%B9%E3%83%88%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,波打ち際が似合いすぎる系スクールアイドル、せっちゃんです。夏合宿に来ています。なんと本日は、蓮ノ空の新聞部の皆さんも遊びに来られました。どうやら、校内新聞に使う写真を撮りに来たみたいです。新聞の一面に、わたしの水着写真が……？どうしよう、せっちゃんのこと好き好きクラブのみなさんが、できちゃう……！,,8月。Edel Noteの新曲『フュージョンクラスト』でした。あの、聞いてくださった方々はみなさん、いろんな感想があると思うんですけど、もしよかったら、聞いて感じたことを泉に伝えてあげてもらえませんか。……私が言うことじゃないかもですけど。泉はここからようやく、スクールアイドルとしての第一歩を踏み出したんだと思うんです。それはきっと、すごく勇気のいることで。だから、わたしもなるべく沢山の声を泉に届けてあげたくて。泉はやっぱり、わたしにとってもすごく大切な人だから。……ここだけの話ですからね！？ここだけの、話です！,とにかく、すっっっごく楽しかったです！夏合宿！昼はみんなで練習して、夜はみんなでご飯を作ったり、みんなでお風呂に入って、みんなで枕投げをしたり。先輩方に枕を投げるのはちょっと勇気が要りましたけど、そこは瑠璃乃先輩と姫芽先輩がノリノリで枕を投げてきてくれたおかげで、わたしもえいやー！って輪に入ることができました。楽しかったあ。これでもう、夏の未練は何もありません。……え？夏休みの宿題？あー……。でも、わたしは後悔してませんよ。この夏は一度きりの夏なんです。宿題なんていつでもできるじゃないですか。だったら、今を楽しまなきゃ！吟子先輩様も仰ってくださいました。「私たちは、今を生きているんだから」って。ん？そういう意味じゃない？あ、はい。やりまーす、しゅくだい。,歌の力を信じてみて。泉。,かわいく撮ってね。,セラス「わ、わたしじゃなくてスクールアイドルを好きになってね！」泉「もちろん。何を照れているんだ？」,わたし、初めて夏が好きになりました！
セラス 柳田 リリエンフェルト,UR,シアター生き様,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B7%E3%82%A2%E3%82%BF%E3%83%BC%E7%94%9F%E3%81%8D%E6%A7%98%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,○○○○○○,,○○○○○○,○○○○○○,○○○○○○,○○○○○○,○○○○○○,○○○○○○
セラス 柳田 リリエンフェルト,UR,令嬢モブ！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E4%BB%A4%E5%AC%A2%E3%83%A2%E3%83%96%EF%BC%81%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,来てくれたんですね、先輩！実はこないだ、Starring Bloomのお手伝いに瑞河時代の先輩方が来てくださったんです。そうです！わたしがまだ中学生だった頃の。本当に、すごく嬉しくて。たまに連絡は取り合っていたんですけど、まさか蓮ノ空でスクールアイドルをするわたしのことをしっかり追いかけてくださっていたなんて。はっ、ってことはもしかしてあんなWith×MEETSも、こんなWith×MEETSも！？はわわ……う、嬉しいですけど……。わたしの、わたしのイメージが！,,ご機嫌ようですわ、皆様。わたくしは三日月すら嫉妬する美しき令嬢、セラス 柳田 リリエンフェルト。……というのは世を忍ぶ仮の姿！真の姿はサイバー窃盗団の新たなる一員、スカーレットフロイラインですわ！どっかーん！ふう。わたくし、このたびそういう曲を作りましたわ。『令嬢モブ！』、もう聞いていただけたかしら？それはそれは、よきににはからえ、ですわ。……それはちょっと違うか。言い直しますわ。それはそれは、大義ですわ！人は誰しも、新たなる世界に飛び込まなければならない時がくる。わたくしはこの歌を通じて、そう伝えたかったんですの。それではまたお会いいたしましょう。スカーレットフロイライン、ですわ！,こんばんは。セラス 柳田 リリエンフェルトです。えー、もう大丈夫です。落ち着きました。というわけで最近はStarring Bloomのお手伝いをよく行っていたわけですが、もう、すごいんですよ。人人人。ものすごく沢山の知らない人がいるんです。でも頑張ってちょっと話しかけてみたりすると、その人はその人でいろんな思いを抱えていたりして。ああ、ここに来てくれた人はみんな、誰一人モブなんかじゃなくて、みんながみんな勇気を出してくれた主人公でありヒロインなんだって。そう思ったらなんか出来ていました。曲が。「サイバー窃盗団はどこから」？私にもわかりませんが、なんかかっこいいじゃないですか。泉みありますよね。ところで噂で聞いたんですが、また泉が他所の女の子の心を奪ってたらしいんですけど。みなさんどう思いますか！？一応泉のパートナーはわたしなんですけど。ときめきテロですよこんなの！解散だ！サイバー窃盗団、解散！！,それじゃあ、あなたのハートを頂戴するね。,ほんっと……ダメなワンちゃんだこと。,○○○○○○,いいの、これがわたしのストーリーだもの！
セラス 柳田 リリエンフェルト,UR,105/刹那&セラニャン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB105%EF%BC%8F%E5%88%B9%E9%82%A3%26%E3%82%BB%E3%83%A9%E3%83%8B%E3%83%A3%E3%83%B3%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,,,,,,,,
セラス 柳田 リリエンフェルト,UR,Dream Believers,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDream%20Believers%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,ヴァイオリンは、わたしの全てだったんだ。そう思ってた。スクールアイドルに出会うまでは。誰にも負けたくなくて、一生懸命、練習したよ。周りに置いてかれることが悔しくて、嫌で、大泣きしたこともあったけど。でも今はね、ただ弾けることが嬉しくて、奏でるだけで幸せなの。変わったのは、わたし。スクールアイドルが、わたしを変えてくれたんだ。,,見て、わたしの衣装。わたしだけの、スクールアイドルの衣装だよ。世界中に叫びたいぐらい。わたし、蓮ノ空でスクールアイドルになれたんだよ、って。今度は、どんな三年間が待ってるのかな。また何度も挫けたり、心が折れそうになったり、立ち止まる日が、来るのかもしれないけど。でも、きっと平気。だってわたし、スクールアイドルだから。あの日憧れた、スクールアイドルになれたんだから。今はこの喜びを、歌いたいんだ。この熱さを、届けるからね。世界中の、どこまでも、ね。,夢はいつだって、叶わなかった。窓の外に手を伸ばしても空は飛べなかったし。ねだって買ってもらったワンホールのケーキも、一人じゃ全然食べきれなかった。夜のプールに忍び込もうとした時も、塀を乗り越えられなくて。そして、ヴァイオリンの神様は、あっけなくわたしを見捨てた。そういうものだと、思ってた。一つの夢に挫ける度に。でもわたしは、いつも新しい夢を見てしまった。どうせ叶わないって、そう諦めてたはずなのに。だけどね、わたしはもう何一つ、諦めたくないから。わたしのわがままに花ちゃんが、みんなが、翼をくれたから。『Dream Believers』。わたしはこれからもずっと、夢を見るよ。I Believe.光は、この胸にあるよ。夢は叶うものだって、そう、みんなが教えてくれたから。,今度はわたしが、みんなの夢を叶えるから。,I Can Believe!,セラス「わたしより上手く踊ってる……」泉「ふふっ。あなただって可愛いよ、セラス。」,スクールアイドル、楽しい！
セラス 柳田 リリエンフェルト,UR,天地黎明,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%A9%E5%9C%B0%E9%BB%8E%E6%98%8E%EF%BC%BD%E3%82%BB%E3%83%A9%E3%82%B9%20%E6%9F%B3%E7%94%B0%20%E3%83%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%88,花ちゃんと！勉強会だあ！じつは～、この超プリティチャーミングな高校3年生のお姉さんは～、わたしの幼馴染なんですよね～。しかもめちゃすごなスクールアイドルやってて、お勉強まで見てくれるんですよ～。はあ…わたしにだけ優しい花ちゃん……らぶ。……え、花ちゃんはみんなに優しい？……それぐらい知ってますけど！？花ちゃんのことならなんでも知ってますんで！なんでもね！,,セラス 柳田 リリエンフェルト、降臨！どうも、光の女神系スクールアイドル、せっちゃんことセラスです。蓮ノ空にやって来て三ヶ月でついに女神になってしまいましたか。そんなわけで、『天地黎明』をお聞きいただいて誠にありがとうございます。世界各地の神話を束ねて、一つの歌に織り上げてみました。「Edel Noteの神話が始まったんだ！」とめっちゃ感動してもらえたら幸いです。歌詞に悩んだときはだいたい泉に相談するんですが、今回もまるで息をするように参考になりそうな世界の神話を教えてくれました。泉はなんでも知っています。……知りすぎてやしないか？いずペディア、なのか？,わたしはスクールアイドル活動において、人を頼ることになんのプライドも持たないという素晴らしい長所を持っておりまして。なので、新曲を作る際は先輩方に色々と意見を聞くことにしているんです。さやか先輩や瑠璃乃先輩には作曲や振り付けで積極的に頼ってますし、姫芽先輩はわたしの気付いてない部分をシャープに指摘してくれるので助かっています。小鈴先輩はいつも率直な感想をくださってそれがモチベになりますし、吟子先輩は言うまでもなく衣装作りの匠で、花ちゃんは特にかわいいです。かわいすぎて、曲作りのことが頭からすっぽり抜けてしまうのです。……花ちゃんはダメだ！あぶない！みなさんも花ちゃんには気を付けてくださいね。気付けばさっきまで作っていた『天地黎明』が『ラブラブ大好きおひさまスマイル音頭』になってますからね。花ちゃんは、あぶない。,神なき世界に響け！人の歌よ！,希望は、方舟とともに。,○○○○○○,生きること、それこそが不撓不屈の理。
