メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
乙宗梢,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,長旅、お疲れ様ね、旅人さん。ここは世界樹の村。ここまでたどり着くのは、本当に大変だったでしょ？険しい道のりを乗り越えて、たくさんの時を集めて……とっても頑張ったのね。ふふっ、えらいわ。ね、せっかくだから、村を案内してあげる。遠慮しなくてもいいのよ？私はあなたを待っていたんだもの。,どうだったかしら。いい村でしょ？のどかで、穏やかで。えぇ、私はこの村が大好きなの。ずっと昔、遥か昔。まだ私が苗木だったころ、心優しい妖精さんが作り上げた村。あら、言っていなかったかしら？ふふっ、ごめんなさい。えぇ、私が世界樹よ。可愛らしい巫女さんは、私のことを「女神様」と呼ぶわね。ね、旅人さん。望むのなら、いつまでもここにいてくれて構わないのよ。村が賑やかになると、私も嬉しいわ。……でも……そうね、あなたにはきっと、行く場所があるのでしょうね。だったら、せめてこの夜は楽しんでいって。色あせることのない夢を、見せてあげる。,,,世界樹にまで、響かせて。,素敵な夢ね。,梢「巫女さんは、今日も可愛らしいわね。」花帆「えへへ……女神様のおかげです。」,世界樹が、抱きしめてあげる。
乙宗梢,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,あら。お目覚め？ずいぶんと気持ちよく眠っていたみたいね。どんな夢を見ていたのかしら？ ふふっ。「夢の中で、私と似た顔の人間を見た」……って、全くもう、何を言うかと思えば。何百年、何千年も顔を付き合わせていれば、そんなことくらいあるでしょう。言っておくけれど、あなたが休んでいる間も、人間の営みは続いてゆく。ということは、職務も溜まっていく、ってことよ。あなたの先達として、私には監督義務がありますから。さ、そろそろ目は覚めたかしら。しっかりしなさいね。あなたは私の、片翼なんだから、ね。,,では、どうしようかしら。一緒に他の子の様子を見に行く？それでも構わないわよ。あなたがいない間は、私がみんなの手助けをしていたから。さやかと共に、人々に歌を届けに行き、綴理と共に、芸術の叡智を授け、瑠璃乃を連れて、祝福の鐘を鳴らしに行ったわね。慈は……、まあ、あの子は一人で行動するのが好きみたいだから放っておいたけど。ふふっ。あなたの後に作られた3人は、一人前になろうと日々励んでいるわ。もしかしたらその内、抜かされちゃうんじゃない？……なーんてね、ふふっ。あ、ええと……花帆は……。……あの子はちょっと、人間が好きすぎるみたいで、朝も夜もなく飛び回っていたわ。見かけたら、あなたも少しは休むように言ってあげてね。それじゃあ、今日は久々に調べを司る天使である私の権能を発揮しに行きましょうか。……「なんだか、嬉しそう」？それは……そうかもしれないわね。……久しぶりにあなたと一緒なんですもの。ほらほら、行くわよ。頑張ってついてきなさいね、ふふっ。,,さあ一緒に、翼を広げましょう。,さすが私の、片翼ね。,○○○○○○,気持ちがいいわね。あなたが一緒なら。
乙宗梢,LR,be proud,https://wikiwiki.jp/llll_wiki/%EF%BC%BBbe%20proud%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,響け、私の歌！ 海の底まで、空の彼方まで！荷物を片付けて、これからまた新しく始まるの。私の、新しい挑戦。一人暮らしは初めてだし、金沢を離れるのも初めて。友達はできるかしら、とか、授業についていけなかったらどうしましょうか、だとか。新生活には、不安も心配も、尽きないのだけれど、でも、きっと頑張るわ。一歩一歩、また、ゼロからの道をね。,あぁ……やっぱり緊張してしまいますね。一人でステージに立つというのは。特にこの曲、『be proud』は、ごまかしの効かない私の気持ちを歌ったものですから。人魚姫の物語、ずっと好きだったんです。泡となって消える、胸を締め付けるような最期。夢が叶うのなら私も、何を捨てても構わないと思っていました。だけど、今は、……顔を上げれば、まばゆいほどのマーメイドグリーン。これだけ多くの人が、私の歌を待っていてくれるのだと、そう、教えてもらいました。ステージの上では一人でも、一人きりではありません。声を失っても、歌い、足を失っても、また歩いていきます。儚く終わる物語が、ずっと好きだったはずなんですけれど……。もしかしたら私も”ハッピーエンド”が好きになってしまったのかもしれませんね。それでは、いつかまた。何度生まれ変わっても、またお会いしましょう。乙宗梢でした。,,,何度生まれ変わっても、また、ここで。,きれいね……まるで、水底みたいだわ。,,今が泡と消えても、共に過ごした日々は、胸に。
乙宗梢,LR,Reflection in the mirror/102,https://wikiwiki.jp/llll_wiki/%EF%BC%BBReflection%20in%20the%20mirror%EF%BC%8F102%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,聴いて下さい！ 『Reflection in the mirror』！蓮ノ空に伝わる、伝統の曲。この曲は、私にとってもあこがれの曲で。だから、必死に練習を重ねました。なのに、初めて立ったスクールアイドルのステージは……まるで水の底のよう。まとわりつく空気が重く、ダンスも、歌も、全然全く上手にできなくて……。もがくように、無我夢中で歌い続けました。ただ、ある瞬間から急に、ふっと呼吸が楽になったんです。まるで、強い力に背中を押されたような気がして……。あれは……もしかしたら……、いいえ、きっと私の気のせいですね。うん、きっと。,私のデビューライブには、たくさんの友人が来てくださいました。皆さん、「良かったです」ととても褒めてくださって。だけれど……歯がゆいですね。自分では決して上手くできたとは思っていないステージを、褒めていただくのは……少し、悔しかったです。この調子では、ラブライブ！優勝なんて夢のまた夢。もっと練習を積み重ねないといけません。と言っていたら、同じ部の方に、「乙宗はシリアスすぎる」などと言われてしまいました。わけがわかりません。いい加減な気持ちで夢に挑む方が、間違っていると思います！ もう一人の部員も先輩もみんな、「肩の力を抜いていいのに」といった言葉をかけてきます。でも、それができればそうしています。でも私は、このやり方しか分からないんです。……すみません、頼りないことを言ってしまって。皆さんの目と耳を、少しでも楽しませることができるよう、頑張ります。ほんの少しでも、よかったと思ってもらえるように……よければ、その、また……見て、もらえると、嬉しい……です。ありがとうございました。,,,蓮ノ空女学院1年生、乙宗梢です。本日は……よろしくお願いします！！,怖くない……怖くないわ。,梢「沙知先輩、いま、光が……！」沙知「それがスクールアイドルの扉さ！」,いつか私も、この歌のように、誇れる自分に！
乙宗梢,BR,18th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB18th%20Birthday%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,本日誕生日を迎え、18になりました、乙宗梢です。みなさん、私の誕生日を祝ってくださってありがとうございます。こうして今年も祝っていただけるというのは、こう、心がうきうきしてしまいますね。本日は特別な日ですから、少しぐらい、勇気を出してみてもいいですか？みなさん、笑わないでくださいね。……だってみなさんの、だ、大好きな私の……お誕生日……なんですから……ね,子供のころは、誕生日が来るたびに「将来はスクールアイドルになるんだー」って、言っていたんです。でもそのうち、お母様が少し、寂しそうな顔をしていることに気づいて……あまり、口に出さなくなりました。乙宗家の娘として、やはり音楽家の道に進むべきだろうかと悩んでいた時も、ありました。……ですがやっぱり、私は夢を諦められなくて……しっかりとお母様に話をしたんです。私の思いを包み隠さず。「そこまで言うのならやってみなさい」と、そう言ってもらえたのが、15の誕生日のことでした。あれから3年。私はこうして蓮ノ空でたくさんの人にお祝いをしてもらってます。みなさんのおかげです。あの日、勇気を出したことは間違いじゃなかった、そう思えるんです。私は、本当に……幸せです。,,,今日の主役は私、なんですよ,こんなにも、愛してもらえるなんて,,Happy Birthday to me。ふふっ。
乙宗梢,UR,春色ニューデイズ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%98%A5%E8%89%B2%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%87%E3%82%A4%E3%82%BA%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,蓮ノ空女学院2年生、乙宗梢です。スクールアイドルも、今年で二年目。夢は勿論、去年と変わらずラブライブ優勝よ！私と音楽を楽しんでくれる人、見つけ出さなくっちゃね。ふふっ…忙しくなりそう。,,運命だったのかもしれないわね。どうしてかしら、花帆さんを見たとき、思ったの。私はきっと、この子と一緒にスクールアイドルをやっていくんだって。まだまだ長い道のり。これから先も何が起きるかわからないけれど、それでも、私は花帆さんを選んだ。蓮ノ空女学院に、進学すると決めたときのようにね。その選択を絶対に、後悔なんてしないわ。,初めて一緒にステージに立ってみて、隣に立って笑う花帆さんを見た時に胸の奥が熱くなった気がしたの。春は出会いの季節。それに、恋の季節って言うでしょ。もしかしたら私は花帆さんのスクールアイドルとしての笑顔に恋をしてしまったのかも。……なんてね。でも本当に、どんどんとパワーが湧いてくるのよ。次から次へと、やりたい事が溢れて止まらないわ。こんなの、初めて。これからもっともっと沢山の人が花帆さんを知って、その笑顔に恋をする。そうして、私と同じ様に元気を貰うのね。それはとっても素敵な事だわ。さぁ、みんなも一緒にここから始めましょう。新たな蓮ノ空女学院スクールアイドルクラブをこれからもよろしくね。,このライブが、私の自己紹介よ！,素敵な出会いね。,梢「ほら、笑顔を忘れずに」花帆「スクールアイドル、楽しいです！」,さあ、私の手を取って、一緒に！
乙宗梢,UR,チェリー♫ピクニック,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC%E2%99%AB%E3%83%94%E3%82%AF%E3%83%8B%E3%83%83%E3%82%AF%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,さて…ボタンを押すわよ！大丈夫よ。そんなに慌てる必要ないわ、花帆さん。私だって、一人で配信しているのよ。どこをどう押せば配信まで辿り着けるか、全て場所を記憶しているわ！,,違うの。機械が苦手だと感じたことは、一度もないわ。確かに、周りよりは覚えが遅いかもしれないけれど…。それだって、努力でなんとかなるって、私は信じているもの。スクールアイドルとして、配信は大事なアピールポイント。見てくれる人がいるんだから、頑張らない選択肢なんてないでしょ？ほら見て。このスマホの説明書。いっぱい付箋を付けて読み込んでるんだから！,はぁ……お疲れ様。皆は今日のライブを楽しんでくれたかしら。あら、沢山のコメントが流れて……。うふ、ありがとう。そう、ステージに来られなかった方も配信で見てくれたのね。遠くの方にもライブを見てもらえるだなんて素敵な時代だわ。そうよ、どんなに機械が苦手だって、こんな事他の誰にもできないんだから、ちゃんと覚えなきゃ駄目なの。いえ、勿論得意になる途中なのだけれどね。さて、何を話そうかしら。いつもの調子だと、ライブを見直しながら反省会になっちゃうし。じゃあ、気分を変えてお話ししましょうか。私たちの楽しい時間は、まだもうちょっとだけ続くのよ。,それじゃあ、配信、始め！,えいっ！,梢「やっぱりすごいわ、綴理。」綴理「こずだって、輝いてる。」,努力は自分を、裏切らないわ。
乙宗梢,UR,Holiday∞Holiday,https://wikiwiki.jp/llll_wiki/%EF%BC%BBHoliday%E2%88%9EHoliday%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,響け、虹の向こうまで！放課後の学校には、いろんな音があふれているわ。吹奏楽部や合唱部、その中に、私の歌声が混ざり、溶け合うの。まるで、学校が奏でる音楽が一つになったみたいにね。,,歌っている最中は頭が大忙し。呼吸が乱れないように。ピッチを保ち音程を外さないように。リズムだって大事。アーティキュレーションにもひとつひとつ気を配って……。けれどね、雲の切れ間から虹が見えるように、全てがぴたりと調和する瞬間があるの。その時の私は、この歌がどこまでも響いてほしいって、ただそれだけを考えているのよ。,ここだけの話ね、歌にはそこまで自信があった訳じゃないの。だって、そうでしょう。乙宗家には物心ついた時から様々な音楽家が出入りをしていて、勿論その中にはプロのシンガー、バンドのボーカル、オペラ歌手の方なんかもいらっしゃったんだから。技術の面で、その方々を上回るのは難しいって。ね、流石の私でも分かっていたもの。だけれど、スクールアイドルを始めてから初めて知ったの。歌に心を乗せる事の大切さを。届けたい方に、聴いて欲しい人に気持ちを込めて歌えば、時には技術すらも凌駕するんだって事。そう信じて、私はこれからも歌うわ。えぇ、歌うのが好きなんだもの。,歌声を、みんなの元へ！,耳を澄ませて。,梢「心を込めて、一緒に！」花帆「あたし達の、ハーモニーですね！」,これが、私の歌！
乙宗梢,UR,365 Days,https://wikiwiki.jp/llll_wiki/%EF%BC%BB365%20Days%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,今年もまたお参りにきました。ここ神田明神にはスクールアイドルの神様が祭られていると言われているんですよ？修学旅行でもこうして足を運ぶことが出来て良かったです。さ、ライブの無事息災をお祈りしてきましょうか。,,披露させて頂いたこの曲『365 Days』は蓮ノ空女学院スクールアイドルクラブに伝わる伝統の曲です。大事な節目となるライブにおいて9人になった私たちの新たなスタート、という意味で先輩方の残した曲をお借りさせて頂きました。過去と今、そして今と未来を繋ぐために私たちの想いを乗せて。聴いてくださった皆様の胸にも何か響くものがあればこれ以上の喜びはありません。それでは皆様、次の機会にまた必ずお会いいたしましょうね,365日、昨日と同じ日、今日と同じ日がやってくることはありません。時間というものは残酷で決して元には戻らないもの。誰もが解っているはずなのに私も、それでも…と願わずにはいられない。この日が永遠に続いてほしい、と。だから願うからこそスクールアイドルは歌を作るんだと思います。何もかもが全て過ぎ去ったとしても思い出と歌はここに残る。『きっと何年経っても色褪せることなく永遠に輝き続ける』。もし上手くいかないことが会った日には思い出してください。私たちと一緒に過ごしてくださったこのわずかな時間を。ほら、胸の中に永遠に輝いていますから。ね？,アンコール、ありがとうございました！,今この時を、楽しみましょう。,梢「さあ、ラストスパート！」慈「盛り上がっていこーう！」,これが本日最後の曲です。
乙宗梢,UR,DEEPNESS,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDEEPNESS%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2,ずっと、どうすればいいのか分からなかった。私はひたむきに走ってきたつもり。だけど、自分の事はどうにかなっても他人の気持ちを変えることは出来ない。だから、かしらね。いつしか、気持ちを閉じ込めることが当たり前になっていたのは。,,自分の気持ちを伝えるのは難しくて、怖いわ。剥き出しの感情は自分も相手もたやすく傷つけてしまう。私は彼女の傷付いた顔を見たくなかった。でもそれは、自分の心を守っていただけ。わからないの。正しさを量る、完全な天秤があれば良かったのに。だから私は、せめて、もっと強くなりたかった。,本当に分からなかったのは、自分自身の気持ち。だから、何もかもがずれてしまっていたのね。抱えて飲み込むことが強さだと、過ちを反省して日々の行いを正すことが大人になることだと、そう思っていたわ。でも、違ったのかもしれない。綴理はずっと待っていた。立ちすくむこの手を花帆さんとさやかさんが優しく引いてくれて、私たちを引き合わせてくれた。面と向かって言葉を交わして、そっとお互いの心の深いところに触れたら、綴理は怖がらず受け入れてくれた。真っ白な光は眩しくて、暖かかった。その一瞬、確かに私たちは繋がることができたんだと、そう思うの。,ここからまた、始めましょう。,伝えたくて。,梢「あなたと私」綴理「今、ひとつになろう。」,全てを、解き放つの！
