メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
夕霧綴理,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,やあ。キミもこの村に遊びに来たの？人間が住んでる場所からだと、結構遠かったんじゃない？遠い旅路、お疲れ様だったね。ボクも実は最近この村に来たばかりなんだ。だから仲間だね。いぇーい！この村の村長は、いい妖精だよ。ご飯とかくれる。だから、キミも一緒においで。みんなでご飯を食べよう。一人で旅してる間は、ご飯も一人で寂しいよね……でも大丈夫、もうキミにはボクがいる。もうボクにもキミがいる。あと村長もいる。今度一緒に世界樹のてっぺんにいこう。雲の上まで美しい緑で溢れていて、景色は雄大だし。あと、なんかよくわかんないんけど、綺麗な女神もいるよ。,ボクもね、この村に来るまで、結構長い旅をしていたんだ。キミほどじゃないかもしれないんだけどさ。ずっと一人で、何を求めているかもわからなくて霧の中をずっと旅してた。どのくらいだったか、時間は計ってないな。何日旅したかを数えたら、その分だけ気持ちが落ち込む気がしてさ。振り返ったときにある足跡を見て誇らしくあれるほど、前を向いて進んでこなかったというかさ、……俯いてたよね。まあボク、足跡つかないんだけど。飛んでるし。でも、だから嬉しかったんだ。「この村でいていいよ」って言われてさ。人生ってさ、生まれたときからいろんな妖精の集まりがあってさ、その、どの輪に加わるかを選んで生きていくようなものだと思うんだ。どこの集まりにも、その集まりが大事にしているものがあって、その大事にしているものを正しく理解できていないとすぐに追い出されちゃう。なのにね、この村の大事なものは世界樹で、ボクは本当に世界樹をちゃんとわかってあげられているかわからないのに……、そんなボクでもいていいよって言ってもらえたんだ。それが初めてだった。嬉しかった。だからボクもね、彷徨っている旅人に一言目に「いていいよ」って言える妖精になりたかったんだ。わからないことばかりの世界だけど、一緒にいようね。一緒に、頑張ろうね。,,,妖精の舞、始めるよ！,みてみて、楽しい！,綴理「おなかがすきました。」さやか「後で作ってあげますから！」,一緒に、いようね
夕霧綴理,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,やほ。待ってたよ、ボクのマイスター。ん？なんか変なことでもあった？ボクに何かできることがあるならなんでも言って。……と言ってもボクは、芸術を司るだけで他は全然なんにもできないけどね。……夢？夢は、芸術かなぁ？……ふふ、微妙だな。マイスターは夢を見てボクみたいな子と会ったんだね。どうだった？頑張ってた？……そっか、ならよかった。十分だね。ねぇ、ボクのマイスター。ボクは芸術を司る天使としてこうして生まれたわけだけど……。……んー、なんでも出来ちゃってあんまり面白くないんだ。マイスターはあんまり楽器得意じゃないけど、それでも一緒にやってたほうが楽しい。もしかしたら芸術って、不完全な方がいいのかもね。,,ボクが人間のみんなに祝福を授けに行くとき、マイスターも一緒に行こうよ。みんなびっくりするかもしれないけど、きっとそっちのほうが楽しい。間違いない。芸術を司るボクが保証する。なんだったら、他の天使も呼んじゃっていいかも。みんなでやるんだ。その祝福授けた人は、なんだかとんでもないことになっちゃいそうだけど……。……うん、でも、きっと楽しいと思う。それに、とんでもないことになっちゃうのも、悪いことじゃないんじゃないかな？よし、やっぱり決めた。人間たちの言葉では、祝祭とか、舞台とか言うんだけど、そういうふうにみんなが集まって、芸術を見る文化があるんだ。それに、みんなでこっそり行っちゃおう。すごいことになるよ、きっと。マイスターはボクに、「いていいよ」って翼をくれたよね。マイスターにボクが返せるとしたら、芸術だけ。だったら、とびっきりの芸術を見せたい。きっとこの先にそれがある。だから、一緒に行こう？,,うん？やる？いつでもいいよ。,みんな楽しそうだねー。,○○○○○○,帰りたくなくなってきたなー。ずっと一緒にいよ？
夕霧綴理,LR,幸せのリボン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%B9%B8%E3%81%9B%E3%81%AE%E3%83%AA%E3%83%9C%E3%83%B3%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,夕霧綴理。そう、ボクだよ。呼んでくれた気がしたから、来てみた！スクールアイドルクラブでも、DOLLCHESTRAでもなく、スクールアイドルですらなく、ボクはボクとしてこの場に立っている。夕霧綴理のソロコンサート、よかったら聞いていって。ボクの思いの丈を綴ろう。沢山ではないけれど全部込めた、晴れ渡った星空だ！,夜に空を見上げるとさ、ライブしてる気持ちになるんだ。すぐに記憶が蘇ってさ、沢山のライブをしてきたなって思いながら、星空の下で踊るんだ。それが楽しくてさ。本当に。あの夜も、あの夜も、楽しい時間を積み重ねて、思うんだ。今度誰かと会ったらこの時の話をしようって。ただ踊るだけでも楽しい。誰かに話をしようって夢見るのも楽しい。そして、会った時にこうして話すのもまた、格別だ。みんな、大好きだよ。ありがとう。話をしたい誰かも、たくさん増えた。そしてこれからも増え続ける。そう信じられるのは、蓮ノ空での三年間のおかげだ。リボンに文字を書こう。みんなをまとめ上げる想いになると知っているから。リボンで愛を包もう。これまでを抱きしめられる気がするから。それをね、きっと幸せっていうんだ。知ってた？,,,じゃあ今から、すごいことをしよう。できるよ。,今日の思い出も、また。,,また次の日に聞かせてね。
夕霧綴理,LR,Sparkly Spot/102,https://wikiwiki.jp/llll_wiki/%EF%BC%BBSparkly%20Spot%EF%BC%8F102%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,なれないんだ、ボクは。スクールアイドルに。ボクが見たスクールアイドルは楽しそうに踊っていた。ステージにはたくさんの色がきらめいていた。ボクはそれを見て、胸が締め付けられた。ステージで転んだ彼女たちを、みんなが暖かく応援していた。全てはボクの知らない世界だった。「夕霧綴理は完全で欠けることのない月」だと、そう多くの人に言われた。先生にも、審査員にも、友達……だと思っていた子にも。でも、だとしたらボクはどこに行けばいい？完全はたった一つだ。一人きり……なんだ。,"『Sparkly Spot』はさちが選んだ曲だ。ボクにこれを歌おうと言ってくれた。たくさんのスクールアイドルが歌ってきた曲を、スクールアイドルじゃないボクが歌う。ボクの気持ちじゃない言葉が、この口から飛び出していく。不思議なんだ。ボクの心にボクじゃない思いが生まれていく。どこまでがボクでそうじゃないのか、輪郭が分からなくなって……怖くはなかったよ。心が溶け合ったその時、ボクの前には、きらめきが広がっていた。ボクとさちの踊るステージの前に、たくさんの人たちがいた。それはきっと、スクールアイドルが見る景色だ。あの子たちが見た景色だと……いいな。ほんの少しだけ、""夕霧綴理""が薄れた気がしたよ。「決めるのは自分だ。」と、ボクは誰でもないボクの声で言えた気がした。全部『Sparkly Spot』が一緒にいてくれたおかげだ。いつか、ボクの口からも言えるのかな。「スクールアイドルになりたい」って。",,,共に行こう。キミとなら歌えるよ。『Sparkly Spot』,これが……スクールアイドルの歌。,綴理「どうしてさちは、そんなに暖かいの？」沙知「なははっ、あたしは君の先輩だぜ？」,夕焼けが……綺麗だ。ボクの見た、赤だ。
夕霧綴理,BR,18th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB18th%20Birthday%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,夕霧綴理、そうボクだよ。11月のボク、18歳のボクだ。今日と言う日に会えて嬉しい。なんだか特別な気がするね。でも、こうも思うんだ。今日じゃない日に会えたとしても、その一日一日の偶然を、大事にしたい。その日が誕生日なら、特別な誕生日。その日が誕生日じゃなかったら、ただ、キミに会えた記念日。そう考えると、毎日がもっと楽しくなる。ボクが約束する。,拝啓、17歳のボクへ。お前は今幸せですね。来年のお前も幸せです。誕生日って言うのは、一つの区切りなんだ。その区切りは例えば、次の次に変わる区切り。次の週に変わる区切り。もっと言えば、次の日に変わる区切り？みたいな。ボクの誕生日は、一年を過ごしたという区切りって、いつからか、そう思っててね。だから去年のボクは、一昨年のボクに「もう少し頑張ってみて」って伝えたんだ。よく覚えてる。あの日は、遠征先で応援してくれるみんなにも「お誕生日おめでとう」って祝ってもらえた。本当に……嬉しかった。幸せだった。今年のボクが去年のボクに言うことは、さっき言った。特にあんまり言うべき事はない。「幸せな時間はあっという間だ」なんて言葉もあるけど、本当にそう思う。一昨年と比べても、去年と比べても、この一年はあっという間だった。来年も、そうなるといいな。そう、来年。来年のボクは、蓮ノ空にはいないし、スクールアイドルではないけれど……。それでも、今のボクより幸せであれるように、頑張るから。……もしかしたらそれは、本当に難しいことかもしれないけど……。かつてと違って今のボクは、そういう難しいことを頑張り続けてみようって気持ちになれるんだ。だって、いつだって、キミが見てるからね。,,,思い出の花束を、歌おう。,18歳を、刻もう。,,ボクはここにいるよ。これからも、ずっと。
夕霧綴理,UR,スケイプゴート,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B9%E3%82%B1%E3%82%A4%E3%83%97%E3%82%B4%E3%83%BC%E3%83%88%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,うごかなくなるまでうごくと、うごかなくなるね。不思議だね。でもその瞬間が一番心地いいのも、本当。かほも最近、分かってくれてる気がする。嬉しいよね。,,スクールアイドルのライブは場所を選ばない。…と、ボクは思ってる。でも、こうして頑張って作り上げたステージの上でやるライブは、他にない心地よさがあるとも思う。気持ちを積み重ねたみたいな感じがするんだ。足元から天井、みんなのいる場所も、ボクたちの立つ場所も、ぜんぶボクたちみんなの気持ちで作られてる。さやがステージ作り頑張ってたの、見てた？ボクも見てた。だから分かるだろ？ボクと、さやと、みんながいる、このステージのきらめきが。,会場を作ることがあれば、会場のお片付けもしなきゃいけなくて。さやがちょっぴり、へこんでた。作るの、頑張ってたからね。この子たちの出番がもうおしまいなんだって思うと、寂しい気持ちは分かる。だから、約束がしたいんだ。いいかな？この約束は、ボクと、さやと、ステージと、それからみんなでしたい約束。内容は一つだけ。分かってる人もいるかもしれないけど…うん。またやろうね、ってね。ふふっ、ボクもまた、さやと一緒にライブをするために練習頑張らないと。みんなも、見ててね。,たのしいので、おどります。,練習の成果あたっくー。,綴理「さや～、さや～」さやか「はい、さやです。行きましょう！」,スクールアイドル、できてるよね？
夕霧綴理,UR,チェリー♫ピクニック,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC%E2%99%AB%E3%83%94%E3%82%AF%E3%83%8B%E3%83%83%E3%82%AF%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,これ、こずと誰だ？あ、ボクか。鏡でしか会えない人のことはたまに忘れがち…じゃない？,,思い出は形に残るんだ。形として残るのは、たった一枚の絵でしかないかもしれないけど、触れた瞬間に、胸の中でつるつる引っ張り出せる。引っ張り出すと、運動会の旗みたいにたくさんの記憶がくっついてて、こんなこともあったねって思える。だから思い出は形に残るんだ。その割に思い出せないボクの顔は……これからちゃんと鏡を見ることにします。さあ、それじゃあ切り替えて、また新しい思い出を作ろう。,今日のこともまた思い出になって、こんなことがあったねって思い返すことが出来る。何度も何度も引っ張り出すと、ボロボロになっちゃわないかなって思うけど、そこは、運動会の旗とは逆なんだ。引っ張り出さないでいると、他の思い出がたくさん増えて、引っ張り出さなくなって、放っておくとどんどんボロボロになって消えていくんだ…。うん、だから実は、わざと消そうとして、しまい込んだままのものもあるよ。でもそれは、凄く寂しいことだって分かったんだ。しまい込みたい思い出も、ボロボロになって消えていくことも。だからこれからは、引っ張り出したい思い出もたくさん作っていきたい！そう、今日みたいに！,ピース。,いえーい！,綴理「昔は昔でも」梢「今だって楽しいわ」,思い出して、笑ってみたり。
夕霧綴理,UR,DEEPNESS,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDEEPNESS%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,いろいろ…あったね…もう二度と、思い出したらダメだと思ってた。…思ってたな。,,ごめんね、下手で。ボクが言葉が上手くなくて。相手の気持ちを考えることができなくて。分からないことばかりなんだ。でも口にした事と、思ってる事が違うことだけは分かるんだ。あの日のキミが本当で、昨日のキミが嘘で。ボクは今日のキミが好き。,何がよくて、何がダメで。そういうのが、やっぱりよく分からなくて。ごめんね、っていつも謝ることしか出来なくて。ボクじゃない誰かの言うことが、きっと正しいんだと思ってた。そこにボクの気持ちはたぶん、いらない。そう思えるようになったら、ちょっとだけボクを締め付ける痛みがほどけてくれた気がした。海の下から浮かび上がって、水面が見えた。…それでいいのか分からなかった。だって、ボクより下の方にずっと、こずがいたから。でもね、迎えに来てくれたよ。さやと、かほが。…嬉しいね。,行こうか。,伝わるよ。,綴理「もう一度だけ」梢「再演をしましょう。」,いま、いい気分なんだ。
夕霧綴理,UR,ペンギンアイス,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%9A%E3%83%B3%E3%82%AE%E3%83%B3%E3%82%A2%E3%82%A4%E3%82%B9%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,静かに。今一番、いいところなんだ。目の前にあるのに、頭の中にあって、お互いに話し合ってより美味しそうになっていく…。楽しい。,,かき氷って楽しいよね？口の中に入れたら、すぐに溶けてなくなっちゃうんだけど、それまではずっと目の前で堂々としてるんだ。それでね、他の食べ物と違って堂々としていても段々力が抜けていっちゃうんだ。だから、この子が同じポーズをとってくれる時間は長くない。その時その時で、一番綺麗な飾り付けは違う。その一瞬に思いついたアイディアと溶けきるまでの予想の出来ない力の抜け方…。うーん、お互いに相談して、未完成のままに芸術を組み立てる…。あれ？かき氷、キミもスクールアイドル？,夏は夜が好きなんだけど、日が出てる時は、それはそれで嫌いじゃないよ。暑いのを、暑いねって言ったり、かき氷を食べて冷たいねって言ったり、そういう話が出来るのは夏だけ。涼しい格好をして、そういう雰囲気でパフォーマンスをすると、ステージは熱くて盛り上がるのに、目では涼しいって思えたり。不思議だよね。不思議で、楽しい。だからまずは、気持ちを届けよう。暑いのが楽しいなら、熱いを。暑いのがキツイなら、涼しいを。ボクたちはスクールアイドル。折角暑いなら、一番熱い場所からみんなに何でも届けるよ。,芸術を始めよう！,静かに。,綴理「ボクすごい！」花帆「すごいすごーい！」,完成は目前…！
夕霧綴理,UR,秋色カントリーロード,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%A7%8B%E8%89%B2%E3%82%AB%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC%E3%83%AD%E3%83%BC%E3%83%89%EF%BC%BD%E5%A4%95%E9%9C%A7%E7%B6%B4%E7%90%86,うわぁー...、やめろぉ...。えっと、えっと、問題1は、底辺×引っ張られる髪の描く弦は…ハロめぐ……。うわわ、おかしくなるやめろ～...。,,るりが来てくれたからかなぁ？めぐ、前より楽しそう。去年も三人で話すことはあったけど、めぐってもっと自分のことを隠してる子だった気がする。もしかしたら、気がするだけで、前と変わったのはボクの方で、めぐの楽しい気持ちに気づいてあげられなかっただけかもしれないけど…。確か、偉い人が言ってた。実験は一つの条件だけを変えてやるから成立するのであって、二つ以上の条件が同時に変わってたら、泣いちゃうって。さやもるりもいるし、楽しそうなこずにもかほがいるので、ボクも泣くことにする。,一つ一つの色には名前がついていて、お店に行くと楽しそうに絵の具が並んでる。それを見るのも好きだけど、ボクは色を混ぜるのがもっと好き。赤と青を混ぜて出来た色は紫っていう別の名前になるのかっていうと、なんかちょっと違うんだ。それは、赤と青が混ざった色。パレットの上で、画用紙の上で、踊ってできた赤と青が混ざった色。先に赤を絵画にのせて、それが乾いた後にのせる青は、またちょっと違った彩りを見せてくれるし、逆もそう。赤はどんなに塗っても赤だけど、二色に増えただけで無限大。楽しいね。,思い出を描こう。,こうすると、それっぽい。,綴理「いい風景。」梢「いい絵だわ。」,色を重ねて、一枚の絵画。
