メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
大沢瑠璃乃,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,むっ、何奴！あぁ、旅人さんかぁ。じゃあ通っていいよ。ようこそ、妖精の村へ！ガバガバ警備というなかれ！ちゃんと門番の仕事は全うしてるとルリ思う。村にとんでもない奴が現れたら、追っ払うのがルリの役目のわけだけど……御覧の通り、ちゃんと通す相手は選んでるでしょ？リス君たちも可愛かろう。……まぁ、年がら年中遊びに来るもんですから、ルリもちょっと疲れるんだけど……。門番の仕事を突っ立ってるだけだと勘違いした子が、ルリで遊びに来る始末だし……ともあれ、どうそ、妖精の村へ！お通りください！いつまでも突っ立ってないで、話したい妖精に会いに行くとよいと、ルリ思う。え、ルリでいいの？それは……まずい……マニュアルにない……どうしよう……あり……がと……。あ、えと……あ、案内とかしよっか……？,あなたには話してもいいかな。ルリね、元々は結構門番って退屈な仕事だなーって思ってたんだ。やべー奴とか滅多にこないし、リス君達にされるがままに全身上り下りされる毎日……。でもさ、あなたと話してみてルリ思った。あなたに最初に会えたのも、ルリがこうして村に訪れる人と、最初に会う仕事をしているからかなーって。結構人と話すだけで魔力使っちゃうタチなんだけど、あなた相手だと、あんまり疲れないしね。不思議。へへっ。あ、そうだ！よかったらちょっと一緒に門番やってみない？暇な一日ぼけーっとしてるだけの仕事だよ。たまに可愛いから全部許されてるだけの仕事してない子が、暇つぶしに来るよ。のんびりが好きなら悪くないお仕事と、ルリ思う。まぁまぁ、ちょっと一回お試しに、ね！え？なんでルリが門番なのかって？そりゃ別の国の言葉とかも話せるからだけど……以外？失礼なっ！,,,じゃあ、今日もボチボチ見守るかー。,よし、通れ！,瑠璃乃「君も仕事して！」慈「門番ちゃんをよしよしする仕事？」,今日も世界樹が、平和でありますように！
大沢瑠璃乃,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,起きて。ねぇ、起きて？おーきーてー。起きてくれないと、ルリは人間さんの祝福にも行けないよー？行かなくていいの？サボった理由は、あなたにしちゃうよ～？……それでも起きないなら……いたずらしちゃおうっかな～？「ルリ大好き」って書いちゃうぞ、顔に♪ ……わぁ！起きたなら起きたって言ってよ～！びっくりした～……今日はルリがみんなの祝福をしてあげる日だよ。そうそう、癒しを司る天使のこのルリがね。だって言うのにあなたはさ、癒す前から寝ちゃってだもん。ルリの立つ瀬がないよ。せめてルリの祝福受けて、癒されてから寝てほしいもんだと、ルリ思う。……ちなみにさ、さっきルリが言ってたこと、……聞いちゃってた？,,カランコロンと鐘を鳴らして、みんなが明日からまた楽しく元気でいられますようにと、祝福を授ける。これがルリのお仕事。みんな、きっと明日も楽しいといいね。あなたもそう思うでしょ？これから先もずっとさ、楽しいだけの毎日でいてくれたらいいなって。……え？ルリ？ルリは今、十分満たされてるよ。天使のみんなと一緒にワイワイやるのも楽しいし、こうしてあなたとのんびりしてるのもね。あ、そうだ。楽しそうなことしてる人間さんを見つけたんだ。川に糸垂らして、ボーっとしてるの。あれ楽しそうだなーっと思って。……よかったら、一緒にやらない？あなたとだったら、気負いもしなくていいしさ。……ダメ？,,みんなに祝福、届けちゃおうか！,任せておけって！,○○○○○○,きっとこれでみんな、楽しめるはずだよ！
大沢瑠璃乃,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,こんにちは。あなたと会えて、嬉しい。担当電子精霊の、ELIXIRだよ。よろしくね。遠い遠い世界から、この銀河へ訪れたあなたを、ELIXIRは歓迎します。これより始まるのは、あなたとELIXIRの二人旅。母星Elysionを目指す、幸せへの片道切符。ゆっくりのんびり、船旅を楽しもうね。Elysionにたどり着いたら、そこではみんなと繋がれる幸せな終わりが待ってるから。Elysionは、これまでのあなたの頑張りのすべてが報われる場所。なんかちょっと、嫉妬しちゃうって、エリ思う。ゆえに、エリあり。だって、あなたのこれまでの頑張りが報われるとしたら、このELIXIRが報いてあげたいって思うから。うん……そうだ。決めた。だったらせめて、この船旅では、あなたのこれまでに報いたい。ELIXIRにできることがあったら、何でも言って。癒やしを司る電子精霊のELIXIRが、あなたのこれまでを、全部、受け止めてあげるから。,これまでの旅路はどうだったかな？一緒にご飯食べたり、一緒にネットワークの動画を見たり、気づいたら、ソファーで一緒に寝ちゃったり。あなたにとって、これまでの頑張りを癒す時間になれたかな。……そうであったなら、ELIXIRにとっては、一番嬉しい。……え？ELIXIRは……？……どうだろう、わからない。楽しかったって言っていいのか。だってELIXIRが楽しかったって言えるのは、あなたが幸せな時間を過ごせた証があってこそだから。……あなたも？……あはは、何それ！それじゃあ堂々巡りだね。……そしたら、せーので言おっか。楽しかったかどうか。せーのっ「楽しかった！」……うん……うん。ごめんね、楽しんじゃった、すっごく。……ELIXIRはあなたを癒すのが仕事なのに、あなたと一緒にいることで、ELIXIRが休めてたかも。いつも相棒に振り回されっぱなしでさ、それ自体は、ELIXIRが役に立ててるって実感があるからいいんだけど……、こういうのも、悪くないね。みんなを癒すのが仕事のELIXIRを、あなたが癒してくれた。……Elysionに着くのが、ちょっと名残惜しい。けど、会えて本当に嬉しかった。ELIXIRと会ってくれて、本当にありがとう。,,,まいどー。みんなのELIXIRだよー。,そんじゃ、軽く癒していこっか。,○○○○○○,銀河に届く、癒しの波動を。
大沢瑠璃乃,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,えへへ。嬉しいけど……なんか、照れるね。お祝い、ありがとね。せっかくだし歌っちゃおっか！せーのっ！Happy Birthday to me！Happy Birthday to me！Happy Birthday dear  ルーリー！Happy Birthday to me！あははっ！歌ってくれた～？,本日はお集まりいただいて、誠にありがとうございます。ルリの誕生日、こんなにお祝いしてくれる人がいて、本当に嬉しい。充電もたくさん持つようになりました。こういう嬉しい時間は、最後まで一緒に過ごせるくらいにね。17歳になったよ。時間が経つのは早いなぁ。めぐちゃんとみらくらぱーく！を始めてから、もう1年が経ったってことなんだもん。みんなの前で、歌って、踊って、たくさんパフォーマンスしたね。……これがこんなに日常になるなんて、昔のルリは想像できなかったよ。ずっとずっと、ただテレビの前で憧れてた。みんなの前に立って笑ってるめぐちゃんに。今のルリは、誰かの憧れになれているかな？そうだったら嬉しいなぁ。誤解しないでほしいんだけど、あの日のルリは、あの日のルリで本当に幸せだったんだ。今がそれ以上だとか、比べるつもりはなくて。別に、スクールアイドルになることだけが正解だったとも思ってないよ。だから、そうだな。ルリからみんなへ！憧れて、すごいなって思ったら、それだけでいいんだ。ああなりたいと思って頑張るまでが正しいってわけじゃない。ただ、何かを頑張りたいと思った時に、スクールアイドルを頑張ってたルリのことを、思い出してくれれば嬉しい。その時、今日のルリが、あなたの背中を押せたなら、それが一番、嬉しい。……なんて！ちょっと誕生日だからって、調子乗りすぎたかな？あははっ！今年もよろよろー！,,,大沢瑠璃乃、17歳！17th！,祝え、祝えー！なんてね！,,みんなと一緒で、嬉しいよ
大沢瑠璃乃,BR,18th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB18th%20Birthday%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,大沢瑠璃乃、18歳になりました！えへへ。みんなと初めて会った時はまだ15歳だったのにね。時の流れっていうのは早いもんですなぁ。期待と不安をもって、金沢に戻ってきたんだ。スクールアイドルクラブ、楽しそうだなというのと、集団で一緒にいて、本当にルリが耐えられるかなっていうので……。ふふっ、なんか懐かしいね。昔のルリに会うことができたら「楽しいよ、大丈夫だよ」って言ってあげたいもんです。実際、後悔なんてものは欠片もないし、むしろ人生が何倍も楽しくなった！……ね、このままあと半年、悔いなく、駆け抜けたいね！,みんなのお祝い、届いてるよ。暖かくて、嬉しい。おかげさまで……えっと……え、これ、本当に言うの姫芽？……お、おかげさまで、大沢瑠璃乃、みんなに愛されて18周年！本当にありがとう！みんながルリのこと、大好きでいてくれるように、ルリの大好きもみんなにあげる！ありがとう！だーいすき！……くぅ……言った、言いました……ジューデン、とてもヤバいです。あぁ、みんなに気を遣ってるってわけじゃないからね、た、単純にこういうの恥ずくてさ。でも、これもその、ジューデンやばくても、やりたいことはやる、の一環。ルリだって……本当は言いたかったんだ。……みんなも、ルリにいつも胸張って、自信もってほしいって言ってくれてるし、ルリだって、そうしたいんだ。大沢瑠璃乃、みんなに愛されて18周年、胸を張って言えるよ。みんなにこうして言えるのも、みんなが愛してくれたおかげだから。……応援してくれて、励ましてくれて、力になってくれて、悩みがあったら相談をしてくれて、ルリを支えてくれることも、ルリに寄りかかってくれることも、全部が全部、ルリの力になっています。へへっ、幸せだね。改めてそう思うよ。……ルリはここで、みんなに大好きって言うために、スクールアイドルでいたのかな。……なんて。あはは、ちょっとは可愛かったかな。3年生も、頑張るよー！,,,みんなに祝ってもらえて、幸せだよ！,今日だけはルリが主役！,,お祝いのお返し、ほら、ギューッと。
大沢瑠璃乃,UR,WAWO!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBWAWO%21%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,えへへ、グッドゲームグッドゲーム！ 君のおかげだよ、ありがとう！はぁー、緊張したー。でもすっごく盛り上がって、本当によかったよ。後からひめっちの実況解説も聞いたけど、会場があれだけ湧いた理由が分かって、納得したなぁ。ルリたちのやってることが、ひとつひとつ劇的になって、勝ったときの笑顔、ルリが思っている以上にまぶしく見えたんじゃない？ どう？ よかった？,,WA! WA! WA! WA! WA! みんなー、ハロルリー！ みらくらぱーく！の新曲、『WAWO!』、楽しんでくれたかな？ これが今年のみらくらぱーく！ 結構雰囲気変えたつもりなんだけど、どうだったかな？ 根っこのところにある、「世界中を夢中にしたい」って気持ちだけは変えずに、今の思いをたくさん込めてみたんだ。ルリの思う、世界中を夢中に、するやり方。それから、ひめっちの夢を一緒に乗せて、衣装にも結構こだわってみたんだ。今までとは違う可愛さというか、あー……。可愛さには結構いろいろ悩んだんだけどね。ひめっちが絶対に、かわいいだけは譲らないって言うから、面白い、とか、かわいい、とかは諦めたルリであった。でも、それだったら、めぐちゃんがいないのに、甘い雰囲気で勝負しても、去年には勝てん！ ということで、こういうガーリーで、ちょっとアクティブを詰め込んだカワイイにしてみました。みんなに元気をプレゼント！ 張り切ってくぞー、ひめっちー！,足のとこ、ローラースケートにしようって言ったひめっち、天才じゃね？これのおかげで、ぐっと可愛くも元気な雰囲気に仕上がったと、ルリ思う！ ひめっち自身、最近はいろいろ悩んでたけど……こういう元気でスパークするようなアイデアも出せるんだし、きっとこれからも、すごい発想ができると、ルリは思うんだ。それこそ、ひめっち自身の夢は、これからももっともっとふくらませるような、ね？ 逆に、ルリはひめっちが悩んでることには、気づいてたけど……今回あまり力になれなくて……。ルリなりに、自分でできることをしているつもりなんだけと、足りないところが多くって。ルリの理想は、まだまだ遠いな。どうしたら、いいんだろね。……なんて、やめやめ！ その理想にたどり着くためにも、これからひめっちと二人で、頑張っていくんだから！,WA! WA! WA! WA! WA!,さあ行こうか！,瑠璃乃「いぇーい！グッドゲーム！」姫芽「さっすがるりちゃんせんぱい！」,さあみんな、レッツエンジョイ！
大沢瑠璃乃,UR,夏めきペイン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%8F%E3%82%81%E3%81%8D%E3%83%9A%E3%82%A4%E3%83%B3%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,おっしゃー、また釣れたー！先輩の別荘すげー。…あれ、さすがに海岸までは別荘の敷地じゃないんだっけ？まあ誤差っしょ。どちみちデカいんだし。,,わ゛。だ、誰とは失礼な。瑠璃乃だよ瑠璃乃。大沢瑠璃乃。いっつみー！みんなの夏を全力で届ける、そんなライブをやるための衣装だよ！まあ、メイクは軽くしてもろたけども…髪型も衣装に合わせていじってもろたけども…ほぼほぼプレゼンテッドバイめぐちゃんだけどもさ…それでも、スクールアイドルとしてルリが全力でみんなに夏を届けたいって思って、頑張った結果がこれなワケよ。頑張ったっしょー？似合うっしょー？めぐちゃんのコーデは、信用できるコーデっしょー？よぉーし、分かってくれたならそれでよし！えへへっ、みんなで夏、楽しもうぜ！,なんかこう…この衣装あれだな。かわいくてかっけー上に、動きやすくって最高だな。割と普段からこの格好でもアリかもしれんと、ルリ思う。ゆえにルリあり。うむ。あ、でもあれか。そのたびにカリスマスタイリストめぐ呼んでたら過労でぶっ倒れちゃうかー。残念だけど仕方ない…なんて、いやーごめんね？照れ隠しに色々話してみたけれどもさ、自分で催促しといて、カワイイ言われんのやっぱ照れんね。へへっ。いや9割9分、めぐちゃん宛てのカワイイだったのは分かってるよ？でも残り１分がこっち来てくれてるだけで、なんか嬉しい。な、なんかとか言っちゃダメだね。うん、嬉しいんだ。打率1分でも、この場で打てたことが嬉しい、みたいな感覚。だから今、ちょっち調子乗った。このままでいたい的なこと言ったのも、カワイイ言われたせい。はあ…スクールアイドル、こわあ…。こりゃ沼だ、ずぶずぶ。,私たちの夏だー！,"I fish, Yeah!",瑠璃乃「待ってたよ、めぐちゃん！」慈「私たちのステージだー！」,見て見て！ルリ頑張れてるよ！
大沢瑠璃乃,UR,織姫草紙,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%B9%94%E5%A7%AB%E8%8D%89%E7%B4%99%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,暗記、暗記っと。苦手な科目は暗記でごり押すのが得策と、ルリ思う。最初は英語とかもほぼ暗記だったしねぇ、今でもリスニング以外は結構大変。文字で書かれてるだけだと、なかなか理解するまで時間かかったりするんだよね、不思議～。,,一年でたった一度の夜、大好きな人と一年に一度しか会えないなんて、すっごく寂しい話だよね。だってさ、そもそも来年も会えるかどうかなんてわかんないんだよ？また来年ってお別れして、それからその人が一年間をどう過ごすかもわからない。自分が友達と笑い合ってる間に風邪ひいたりしてるかもしれない、そう思ったら落ち着いてなんていられないよね。一年に一度しか会えなかったらどんなにたくさんのことを話すんだろう。この一年溜めこんだ気持ちとか思い出とか一つ一つ話していたらとても一日なんかじゃ足りないし。ルリにできることは祈ることだけだけど、今日は空と気持ちを一つにして一年に一度しか会えない寂しさと会えた時のほっとした気持ちを代わりに表現できたらなって思うんだ。,七夕のことを思ったよ。一年に一度しか話せない相手と何を話そうかって。別にそこから連想したわけじゃないけど……。ルリも一年前に丁度海を渡ったんだ。カリフォルニアに残してきた友達のことは、簡単にSNSで何をしてるかわかるし、しようと思えばいつでも連絡は取れるから、織姫と彦星の気持ちを完全にわかってあげることはできないけど……。そうだな……ルリもカリフォルニアの友達と直接会うことは一年以上できてない。……うん、きっと一年越しに会ったら、話よりもその子の手を取って、顔を見て、一緒にいるんだって実感がほしい。もしかしたらそれだけで満たされるかもしれない。あーだこーだ、どんな話をするんだろうって思ったけど、そこにいるってだけでいいのかも。……その気持ちを込めて、今日のパフォーマンスに臨むよ。君と会えるだけで十分なんだって。,一年お待ちした甲斐が、ありました。,なんて、綺麗な夜空。,瑠璃乃「星の川を渡って」さやか「はい、参りましょう。」,こんばんは。織姫ですよ。
大沢瑠璃乃,UR,アイドゥーミー！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%A4%E3%83%89%E3%82%A5%E3%83%BC%E3%83%9F%E3%83%BC%EF%BC%81%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,もう……もう嫌なんだ！ルリだけなんにもできないのは！情けない話なんだけどさ、やっと言えたって気持ちがいちばん大きいんだ。どうしても口にできなかった、ルリの本音。それだけ二人にも遠慮しちゃってたってことなんだよね。でも、もう平気だよ。ルリたちは大地に揺れる三連華。きっと星と同じぐらい、花を好きになってくれる人もいるはずだから。,,"何度だって思ったよ。めぐちゃんさえ居てくれたらって。何度だって思ったよ。めぐちゃんにばかり寄りかかってたんだって。居なくなってからわかる、背中の大きさ。弱音の一つも吐けないし、吐きたくない、今は。苦しいし、辛いことも多かった。姫芽の助けになれるはずのところで、なれなかった弱い自分。だから、踏み出してよかった。姫芽がぶつけてくれた『BLAST!!』も冗談みたいに心に刺さった。思わず、ちょっぴり泣いちゃった。そうなんだ。ルリには姫芽が必要で、助け合っていかないといけない。先輩だから去年みたいに導かないとって気張っても仕方なかった。「学年が変わっても人は変わらないから。」さやかちゃんがそう言ってたように、ルリもそう思ったよ。だからだね。梢先輩が花帆ちゃんのことを呼び捨てにしてたのを思い出したんだ。梢先輩の気持ちが分かったよ。これからよろしく、""姫芽""。",これもめっちゃ言いづらい話なんだけどさ。内緒にしてね？ルリ、星より花が好き。みんなも気付かなかったっしょ？……え、頭に着けてるから分かってた？まじ？じゃあ、なんで言いづらいかも分かる？まず、蓮ノ大三角ね。どう考えても星じゃん？もちろんルリだって星は好きだよ。綺麗だし、空を見上げて会えたり会えなかったりするのも、心揺さぶられて嫌いじゃない。でも、花の方が好きなんだ。で、花帆ちゃん。もうめちゃめちゃお花と言えば花帆ちゃんって感じするっしょ？だしょ～？もちろん花が好きって言ったら花帆ちゃんは喜んでくれると思うけど、同じぐらい、花帆ちゃんの前で花が好きっていうの気遅れするじゃん？だから、これも言えなかったこと。うーん、言えなかったこと、いっぱいあるなあ……。花が好きな理由？キャンプ行ったり、湖行ったりするとさ、景色の邪魔にならないくらい、そっと彩りを与えてくれるから。見た目も、香りも。うん、そんだけ。そんだけだからさ、余計に言いづらいよね。ええ？花帆ちゃんに言った方がいい？ほんとー？,「私たち」を始めよう。遅くないよ！,大地踏みしめて……,瑠璃乃「三人なら……きっと大丈夫！」花帆「当然！」さやか「はりきっていきますよ！」,これが、これからの蓮ノ空！
大沢瑠璃乃,UR,Very! Very! COCO夏っ,https://wikiwiki.jp/llll_wiki/%EF%BC%BBVery%21%20Very%21%20COCO%E5%A4%8F%E3%81%A3%EF%BC%BD%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,ほれほれさやかちゃん、花帆ちゃんだよー。お日様の香りー！あはは、本物の花帆ちゃんが慌てて走ってきた。わかったわかった、本物はそっちねー！あ、ヤバ、怒ってる！？さやかちゃん、逃げるよ！,,やっほーみんな。夏は満喫できてる？海とかプールと行った？それとも外でるのもしんどい？どっちも分かるなー。でも、だからこそかな。この歌で理想の夏を感じていってほしいんだ。というわけで、『Very! Very! COCO夏っ』、お届けさせていただきました！この曲はね、やっぱりみらくらぱーく！としては、イベント満載の夏を更に盛り上げねばならないという使命感と、それから今年のルリたちらしく、みんながみんな楽しめる曲を目指しました！姫芽にいろいろ聞いてね、どんな所にいても、この曲を聴くことで夏を実感できる曲にしようと思ったんだ。夏でも、冬でも聴いてみて。夏を思い浮かべることができるはずだから。家でも、外でも聴いてみて。楽しい夏を実感できるはずだから。なんてったって、ココは夏っ！,ヒマワリ畑に行ける機会があってさ、みんなでワイワイ行ってみたんだけど、ヒマワリってやっぱり、お花でもあって、太陽の象徴みたいなところもあるじゃん？やっぱ花帆ちゃんの匂いでもすんのかなって思うじゃん？だいたい共通見解かなーって思ってさやかちゃんにヒマワリ押し付けてみたら、ヒマワリの匂いイコールお日様の匂い、みたいなのはさやかちゃんも分かるって言ってくれて、つまりこれ花帆ちゃんの匂いってこと……！？って、花帆ちゃんいない所で遊んでたら見つかった。あはは。だいたいこういう時逃げてんのってルリと花帆ちゃんな気がするけど、花帆ちゃんが追いかけてくるのをさやかちゃんと一緒に逃げるの面白かったよ。さやかちゃんは我に帰って、「どうしてわたしは逃げているのでしょう……？」って言ってたけど、まあそこを考えちゃいけないよね。楽しいからでいいんだよ！,さあ、めっちゃ常夏！楽しんでいこー！,灼熱をエンジョイ！,○○○○○○,忘れられない、夏の思い出になれー！
