メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
安養寺姫芽,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,せんぱーい、ちょっと聴いてくださいよ～。めぐみさまって、言葉を司る天使様でしょ？るりのさまは、癒しを司る天使様。二人ともすっごく、みんなのためって感じがする素敵な天使様じゃないですか～。翻ってアタシ、戦いの天使ってどうよ？どうよ！？アタシ、このままでいいんですか？……え、ほんとにいいの？……まぁ、せんぱいがそう言うなら……。「人間には闘争心が必要な時もある」、ですか……。確かに戦わなくても「うお～～！！」ってなれる瞬間は、大事でもありますよね。それはわかります。……そのためにアタシがいるのかぁ。なるほどなぁ。んじゃまあ、ちょっと他の天使様と比べると、可愛くないけど頑張ります。……なんですか。……アタシは十分可愛い……？へっへーん、そんな言葉で騙されてあげませんからね！今度一緒に楽しいことしてください、それで許してあげます！,,なんていうか、その、急に何？って思うかもしれないんですけど。アタシ、せんぱいと一緒に天使ができて、本当によかったです。毎日がすごく楽しい。アタシって結局、その場をぶち上げる事だけが権能じゃないですか～。って実際、アタシもそれが一番楽しいんですけど……。……なんていうか、上手く使ってくれてるな～って思うんです。まるで、アタシのことをすごくわかってくれているような。……え？夢？夢にアタシとよく似た子が？……へ～、それはまた。ちょっと妬けますね。でも、その子のおかげなのかな。じゃあ、その子にも頑張ってほしいですね。あ、ただあれですよ、アタシは、せんぱいと一緒じゃなきゃ頑張りませんからね？,,さぁ～て、いっちょぶちかましますか！,派手に行っちゃう！？,○○○○○○,さあ、前線を上げていけー！
安養寺姫芽,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,どうもー、会えて嬉しいよ、来訪者さん。アタシは銀河ネットワークの防衛を司る電子精霊、DESTROYER。みんなを脅かすバグから守る存在、みたいな感じかな。もちろん、出会えたキミのこともね。こうして出会えたキミを導くのが、アタシの役目。アタシの船はね、すごいよ。きっとキミも気に入ると思う。めちゃめちゃボタン多いからね。何を押してもなんか出るよ。玉とかレーザーとか。一緒にバグを蹴散らして、楽しく行こうね、Elysion。Elysionはね、これまでの全てが報われる地。……きっと、キミのこれまでも報われる。迷い込んだ理由はわからないけど、多分ね、キミは何かを果たしたんだ。そして、報われるためにここにいる。だから、一緒に行こうね。二人だけの船旅だけど……ふふっ、きっと、めちゃくちゃ楽しいから！,いよっしゃあ～！！勝利勝利、大勝利～！今回もバグは粉々に砕け散った。キミとアタシの大勝利だね。いぇい。もうすぐElysionに着くけど、……アタシとの旅は楽しんでもらえたかな。アタシはめっちゃ楽しかった。アタシばかり楽しみすぎたんじゃないか～ってちょっと不安になるぐらい。一応、来訪者と出会う精霊は、相性のいいもの同士、なんて言い伝えもあるから、それを信じたいところだけど……どう？……よかった、楽しいのがアタシだけじゃなくて。きっとね、アタシたちの旅の途中、たくさんの精霊と来訪者を救ったよ。それ自体も誇りに思うし、キミと一緒だと、アタシもやる気がめちゃくちゃ出たんだ。不思議だね。これまでの全てが報われるElysionなら、キミとアタシで、今までやったことも全部報われるはず。ご褒美、何がいいかな～。トロフィーとかあったら嬉しいよねぇ。やっぱり、何かが報われるんだとしたら、それは、自分で勝ち取ったものに限るもんね。,,,電子精霊DESTROYER、出るよ。,バトルフィールドの匂いは、嫌いじゃないよ～。,○○○○○○,そんじゃ一発、精霊の力を見せつけてやるか～。
安養寺姫芽,BR,16th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB16th%20Birthday%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,いやぁ、お祝いくれて、ありがとね。アタシまでこんな着飾らせてもらって……、なんか、照れるね？16歳になりました。めぐちゃんとるりちゃんが17歳。いつか追いつけるといいな～、なんちゃって。追いつけなくても、追いかけて走ることに意味はあるよね。っていうのが、みらぱ！のアタシ。オタクのアタシは、めぐちゃんとるりちゃんが同い年の瞬間があるの、美味しいよね～って、先月からじたじたしてる～！,学校でさ、お誕生日おめでとうって言ってくれる友達くらいは、そこそこいたんですよ、アタシもね。そんで、学生チャンプになったチームの子たちも、お祝いはしてくれたけど、それぞれの居場所も遠いし、誕生日に集まろうって感じの仲良し感ではなかったかなぁ。強くゲームをやるための集い！って感じで。それはそれで、アタシの好きな環境ではあったから、全然いいんだけど。何が言いたいかっていうと……、こんな風に、みんなに誕生日を祝ってもらえるのって、初めてなんだ。まさか憧れの、めぐちゃんせんぱいとるりちゃんせんぱいに、直接おめでとうって言ってもらえるとは思わなかったし。スクールアイドルクラブのメンバーも、同い年の友達も。……そして、こうしてみんなにも。嬉しいんだ。ありがとね。アタシの誕生日に、アタシを祝ってくれるために、こうして時間を割いてくれて。お姉ちゃんにも早く伝えてあげたいな。今年はこんなにたくさんの人にお祝いしてもらえました、ってさ。こうしてみんなに撮ってもらえた、アタシの誕生日を記念してくれる写真と一緒に。,,,こんなお祝い、初めてだよ～,今年はもっと、強くなろ～！,,みんなのためにも、今日は盛り上げないと～
安養寺姫芽,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,○○○○○○,○○○○○○,,,○○○○○○,○○○○○○,,○○○○○○
安養寺姫芽,UR,アイデンティティ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,うわぁ！るりちゃんせんぱい！るりちゃんせんぱい！るりちゃんせんぱい！そんな顔しないでください！本当に本当にめちゃくちゃ可愛いです！るりにゃんせんぱい！,,『アイデンティティ』大好きなんですよ。アタシが初めて見たのは去年のめぐちゃんせんぱいとるりちゃんせんぱいのアイデンティティだったんだけど。…なんだろう。アタシは二人の意地みたいなものが凄く感じられたというか。伝統の曲って知ってからはどのくらい二人の気持ちが入ってるんだろう、って考えるのも楽しくて。めぐちゃんせんぱいの歌詞から始まって、るりちゃんせんぱいが「一番のファンとして」って歌うところとかすっごく好きで。もしかしたら一人の歌なのかもしれないけど、あのパート分けはめぐちゃんとるりちゃんの絆も感じられた気がしたの。そんなアイデンティティをアタシも一緒に歌うっていうのは滅茶苦茶緊張したけど…。歌うパートをどうするかって話になった時にめぐちゃんせんぱいが「アタシの好きなところでいい」っていってくれて。だったらめぐちゃんとるりちゃんの気持ちを歌ってもらって、私がそれを支えたいって思ったんだアタシの解釈があっているか間違っているかは不安だったけど、でも今年のアイデンティティはこれで行きたいって思って。そしたら、二人とも受け入れてくれて。嬉しかったなぁ。,今年のアイデンティティは曲調も全然違うよね。わかる～。これまでも色々変わってきたんだろうけど今年はこういう感じなのです。歌詞でアタシはわがまま言わせてもらえたけど曲についてはあんまりわからないから、そこはめぐちゃんせんぱいとるりちゃんせんぱいにお任せしました。そうしたらね、アタシが加わったことでみらくらぱーく！の楽しいにも変化があることを見せたいんだー、って。気づいたらアタシの方が尊重されてしまっていて…。あったけぇ…。「ゲームをしている時の楽しさ」みたいなものを足して貰って爆発力のある曲にって。すっごく嬉しかった。めぐちゃんせんぱいとるりちゃんせんぱいと同じ衣装に袖を通して一緒に歌うステージ。…緊張も凄いけど、アタシ本番慣れはちゃんとしているから失敗せずに頑張れるよ。これがアタシの第一歩。アタシの夢の為の、アタシのアイデンティティでもある。だから精一杯お届けしまーす！,Just do it～,全力でいくよー,姫芽「るりちゃん可愛い～～...」瑠璃乃「あ、ありがと...」,さぁ楽しく 君も一緒だよ～
安養寺姫芽,UR,Her-bath-rium,https://wikiwiki.jp/llll_wiki/%EF%BC%BBHer-bath-rium%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,はぁ……めぐちゃんせんぱい……今日もアタシの生きる糧をお恵みください……めぐちゃんの笑顔はアタシを救う……めぐちゃんせんぱいが見守ってくれていると思えばこそ、アタシは今日も頑張れます……世界にめぐちゃんせんぱいの笑顔あれ……きっとこうやって世界中にアタシのような人間を作っていく罪な人…………アタシも頑張りますからね～！,,いずみんとせらりんが蓮ノ空にやってきました～。嬉しいねぇ～。例えどこのユニットになったとしても、頼もしい仲間だよ～。二人の力はアタシたちが一番よく知ってるからね。せらりんは、かほせんぱいのことがあるからか、吟子ちゃんとはすぐ仲良くなってたし、小鈴ちゃんは小鈴ちゃんで、あの子が頑張ってるだけで、せらりんにとっては、大きな背中に見えてるみたいだし。せらりんにとってはすっごくいい環境かもね。なんて、アタシはいずみんとお茶を飲みながら、ぼんやり話してるわけですが～。アタシもアタシで、せらりんのために何かしてあげられたらいいな。あの子、スクールアイドル大好きだもんね。でもまぁ、せらりんだけじゃなくて、いずみんも蓮ノ空1年目。アタシはいずみんのこと、ちゃんと見ててあげようかな。……余計なお世話？……まぁ、かもしれないねぇ。,スクールアイドルとしての実力って、何だろうね。もちろん、いずみんも最高に魅力があるし、それをみんなが認めてる。アタシもそう。でも、どんなに強くても、蓮ノ空の新入りであることには変わらないからね～。新人いびり？逆逆。そういう強い新人こそ、ちゃんと見てあげなきゃって話だよ～。いずみんだって、人間なんだからさ。まぁまぁ、ここは姫芽ちゃんにお任せあれ。この前も新二年生4人で遊びにいったし、どんどん仲を深めていかないとね。いずみんにとっては余計なお世話かもしんないけど、それでもいいんだ。なんてたって、小鈴ちゃんと吟子ちゃんとは小三角。だったら余計にいずみんも馴染める環境にしてあげないと～。そしたらきっと、最強のいずみんがもっともっと最強になるんだから。チームワークってそういうものなんだぜぇ～。,楽しいが大好き！みらくらぱーく！なんちて。,ひめっちだぜぇ～,姫芽「小鈴ちゃんは可愛いなぁ～」小鈴「うぐぐ……姫芽ちゃんに言われると……。」,フラワーバスの姫芽ちゃん、可愛いっしょ？
安養寺姫芽,UR,WAWO!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBWAWO%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,かほせんぱい、アタシと、タイマン、してください！アタシはぶつからないといけない。かほせんぱいと戦って、それで、見えてくるものがあるはずだから！アタシの夢を大きくするために、ここに来たんだ！,,WA! WA! WA! WA! WA! みらくらぱーく！の最新曲、『WAWO!』、聞いてくれたかな？ どうだった、ねぇねぇ、どうだった？ いろいろ感想、どしどしお待ちしています。いやー、っていうのもさ、結構、挑戦って感じがするんだよね、今回の曲。るりちゃんせんぱいと二人で作る、初めての世界観。アタシたちがこれから進んでいくその第一歩だから、いろいろ聞いてみたいなーって思ったり。めぐちゃんせんぱいの分も、アタシが、るりちゃんせんぱいを支えて、夢を叶えられるようにがんばらなきゃ。アタシ自身の夢と、るりちゃんせんぱいの夢。両方の夢が合わさるみらくらぱーく！。それは、めぐちゃんせんぱいや、みんなに楽しんでもらえることが、今のアタシの、一番だから！,夢と夢は、ぶつけ合わせてより大きなものになる。対戦と同じだね。これまで積み上げてきた努力と努力をぶつけ合わせるからこそ、対戦は面白く、楽しく、燃える展開になるんだから。そんなこと、もっと早く気付けばよかった。アタシさ、自分の夢に自信があったんだ。でも、かほせんぱいの夢は、もっと、もっと大きくて。ついでみたいに叶っちゃうのが、嫌だった。……子供みたい？ そうかも。でも、やりたいことをやってこそ、スクールアイドルなのに、そのやりたいことがなくなっちゃったらさ、何のためにスクールアイドルになったんだろうって、さ。でも、そんなふうに子供みたいなことをぶつけてみたら、かほせんぱいもかほせんぱいで、その夢の大きさの中でもがいてて。最初から、素直に話してれば、もっと早くこの結論にたどりつけたなーって思うんだ。一人じゃ大変な夢でも、みんなとなら、ぶつけあって、どんどん大きくなっても、みんな一緒なら、きっと！ この夢は、すっごいことになるぞー！,WA! WA! WA! WA! WA!,最っ高だー！,姫芽「さあ！勝負です、るりちゃんせんぱい！」瑠璃乃「受けて立ーつ！」,もっともっと、夢は大きく！
安養寺姫芽,UR,PASSION!!!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPASSION%21%21%21%21%21%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,うお～！負けねえ～！めぐちゃんとるりちゃんに負けをつけるなど、不肖この安養寺姫芽、決して許しませんとも！あ、るりちゃんのアタックかっこいい...。...わ、しまった、ぼーっとしてた！,,夏の夜にみんなでお出かけすると、なんていうか、お祭りみたいだね～。アタシ、あんまり夏祭りって行ったことなくてさぁ。子どもがひとりで行けるとこじゃないし、あとシンプルにお値段も高いよね～。なんて話はさておき、だから楽しかったんだ～。目的地はプールの撮影会で、すっごくおしゃれ。めぐちゃんせんぱいが言い出したことで、さっすがめぐちゃんせんぱい！って感じ。みんなも見た？あの麗しい水着姿。もちろんアタシも頑張って、アタシを魅せるための構図を考えたよ。どうかな？姫芽ちゃん好き～、って思ってもらえるような絵になったかな～？あ、くわえてる花はね、なんというか、癖なんだよね。くわえると甘いんだ～。なんて話を小鈴ちゃんにしてたら、吟子ちゃんがそのまま撮影したらどうかっていうからやってみた。最初はどうかなと思ったけど...写真見てみたらそっちのがよくて。勉強が足りないな～って思うと同時に、吟子ちゃんはよく見てくれてるな～って思ったよ。衣装に詳しい人は、見栄えがするものも分かってるんだろうね～。,夏本番がやってきた～！ビーチバレーをしたり、プールで撮影したりしてると、すっごく夏！って感じがしてくるねぇ。やったことないこともたくさんあって、新鮮で楽しいよ。1年生3人で撮影頑張ったって意味でも、これもまた新鮮かも。最近ちょっと、撮影ってことには興味が出てきたというか。まあ、いろいろあってさ。...みんながちゃんと映える写真を撮ろうってなると、気合もひとしおってもんだよねぇ。しっかし、ここで困るのが、アタシの同期が2人とも、自分に魅力なんてないし...って思ってるタイプってこと。もう、アタシめっちゃ頑張ったよ！吟子ちゃんは、しっとりした魅力がプールの「夜」に似合うから、絶対その方向でまとめるように熱弁しました。小鈴ちゃんは逆に「プール」っていうのが似合うよね。小鈴ちゃんとのプールのひととき...。一緒にいると思わずほっこりするような魅力を出せたかなと思います。...ふへへっ、意外とあたし、もう小鈴ちゃんと吟子ちゃんのことも、スクールアイドルとしてすごく好きだなぁ。,夏の夜、一緒にいよ？,綺麗に撮ってね～,姫芽「水着の感想、募集中～」吟子「姫芽は可愛いよ。」,この花、吸うと、甘いよ～
安養寺姫芽,UR,BLAST!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBBLAST%21%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,るりちゃんせんぱいと、アタシの！時代だ～！！アタシにも、夢がある。るりちゃんせんぱいも、やりたいことを定めた。るりちゃんせんぱいのやりたいことは、アタシが支える。アタシがやりたいことは、るりちゃんせんぱいが支えてくれる。もう、怖いものなんてないぜ！,,BLAST!BLAST!BLAST!!金沢の夜を突っ走る、みらくらぱーく！のお通りだ～！これはね、アタシの気持ちだよ。るりちゃんせんぱいにぶつけたかったんだ。るりちゃんせんぱいが勇気を出して、かほせんぱいとさやかせんぱいに伝えた一歩と、アタシに向かって伝えてくれた一歩に対する、アタシからのお返し。ただのお返しじゃない、倍返し！いつか、るりちゃんせんぱいが言ってたんだ。気持ちを伝えた方は、伝えられた方と違って両方の気持ちが分かるわけじゃないって。確かにそうだよね。言われた側は相手の気持ちも自分の気持ちも分かるけど、言った側は自分の気持ちしか分からない。大好きって言って、アタシも好きだよって言ったって、自分がそう言ったから返してくれたのかもって思っちゃうかも。だから、伝えられた側として全力で伝えたんだ。一緒にやっていこうよ！アタシたちで、世界中を夢中にするヒーローになってやろうよ、って！,"これ、言っていいのか分かんないんだけどさ。正直に言えば嬉しかったんだよね。るりちゃんが、アタシをもっと頼っていいかって、これから先一緒に頑張っていこうって、言ってくれたの。先輩としてのこう、威厳というか、立派な背中を見せるんだーみたいな気持ちは元々あったと思うし、ましてやるりちゃんせんぱいは、あんまし人に頼るってことしたくない人じゃん？それでも、このままじゃ駄目だって、そのためにアタシが必要だって思ってくれたのが嬉しかった。るりちゃんせんぱいの葛藤とか考えると、手放しに喜ぶべきことじゃないんだけどさ。るりちゃんにはめぐちゃんがいて、一緒に突っ走ってきたからこそ、一人になった今、先輩って言う肩書きがるりちゃんせんぱいにとっても足止めになっていたのかなって。でも、だからこそだよね。アタシがるりちゃんの隣で、ひめちゃんとして一緒に頑張らなきゃいけない。そのチャンスが貰えたんだ。へへっ、""姫芽""、頑張るよ。",ここから先は、無限大！,BLAST～!!,姫芽「さあ、ついてきてくださいよ！」瑠璃乃「姫芽こそ！出遅れるなよ！」,火花散らせ！もっともっと！
安養寺姫芽,UR,Very! Very! COCO夏っ,https://wikiwiki.jp/llll_wiki/%EF%BC%BBVery%21%20Very%21%20COCO%E5%A4%8F%E3%81%A3%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD,海の家でいただく8番らーめん。いやー、こういうのも乙なものですね～。疲れた体に染み渡る～。こういう開放感ある場所でみんなで食べるって、いいよね。具材もたっぷり、あえて熱いものを食べるという挑戦。え？ 早食い競争？ いやいや、そんなのもったいないっしょ～。しっかり食べて、この後のビーチバレーに備えつつ、あとでアイスとか食べるための布石にも。ね？,,さあみんな、『Very! Very! COCO夏っ』、聴いてもらえたかな？ 「アタシたちの夏」をテーマに作ってみました。めっちゃ元気になる曲っしょ？ そうでしょ？ もうさぁ、夏って訳わかんないくらい暑いじゃん？ 訳わかんないくらい暑いからこそ、何も考えたくないというか、とにかくテンション上げたいなーって気分になるっしょ？ そのお気持ちに応えました。さあ、暑い夏をテンションだけで乗り切ろうぜー！ 夏って言えば海。るりちゃん。ヒャッホー！ え？ るりちゃんはるりちゃんの誕生日だからってこと？ あー……じゃあ夏と言えば海、るりちゃん、るりちゃんの誕生日！ いやー、さらに最高になりましたね。夏のるりちゃんせんぱいは、一生懸命でかわいい！ お腹周りとか二の腕とか気にしながら水着着てるのがとってもかわいい！ パーカー脱いでってお願いするとすごく恥ずかしいそうなのが、もうエクセレント！ え、これ以上はダメ？ そんなぁ……,それにしてもさ、海の家で食べる8番らーめんの味といったら格別だったよ！最初はね、そりゃびっくりしたよ。砂浜歩いていたら、急にるりちゃんせんぱいが「ラーメン食べたい」って言い出して。冷やし中華の間違いかなー、るりちゃんかわいいなーって思ってたら、マジにラーメン出てきてさ。この暑い中で！？って。だからこそ良いっていうるりちゃんせんぱいの主張に負けて食べたんだけど……いやぁ、いいですねえ。さすがるりちゃん、夏の楽しみ方もよく知ってらっしゃる。野菜も柔らかくて、ラーメンもスルスル入って。夏バテ気味の体に染み渡る、胃に優しいラーメン……。そして、その後に食べるアイスの味も格段に引き上げてくれる素晴らしさ。これは元気が出るってもんで、その後のビーチバレーも元気元気、みらくらぱーく！、大勝利！来年は私が後輩に教えてあげたいなぁ。,さあ、白熱もエンジョイ！,ここが夏だー！,姫芽「るりちゃんの水着～！」瑠璃乃「くっつくなー！」,青空と砂浜に、クラップ！クラップ！
