メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
徒町小鈴,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,あー、ようやく起きてくれたー。ずっとずっと待ってたんだよ？先輩。小鈴はとっても待ちぼうけです。今日は祝福の音色を、人間のみんなに届ける日なんだよ？先輩と小鈴で頑張るの！綴理がそう言ってた！……本当はそりゃ、小鈴一人でやらなきゃだけど……危ないから一緒についてきてくれる、って言ったのは先輩じゃん？だから、待ってたんだ。しっかり見ててね？そりゃ小鈴は、綴理とか、さやか、他の天使に比べて、司っている権能もない全然ダメな天使だし……。みんなの頑張る力を、ほんのちょっと底上げすることしかできないけど……。……それでもやれることをやるから！,,ねぇ、先輩。こんなダメ天使を拾ってくれて、使ってくれて……ありがとうね。それだけであなたの小鈴は幸せです！どんなに頑張って、うまくいったとしても……、綴理の爪の先としか言われなくて、周りから「さやかのお荷物」って笑われても……、先輩は小鈴のことを信じて、一緒に頑張るってことを選んでくれた。だから今、こうして祝福の天使を続けられています。これからも、自分にできる限りのことを頑張っていくから。その勇気を、先輩に貰えたから頑張れるよ。だから……だから、その……これからもよろしくね！いらない子って思われないように、精一杯の祝福を、みんなに届けるから！,,小鈴、行ってきまーす！,見ててね？頑張るから！,○○○○○○,精一杯の祝福を、奏でます♪
徒町小鈴,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,目が覚めた？よかった。DEVICEもこれで役目を果たせる。あぁ、どうしてここにいるのか、自分がなんなのか、わからないよね。あなたはこの銀河のネットワークに迷い込んだ来訪者。あなたを銀河のバグから守ってElysionまで連れて行くのが、このDEVICEの務め。Elysionにたどり着けば、DEVICEとあなたは幸せになれる。説明はこれでいいかな。ん？怖い？大丈夫。DEVICEが守ってあげる。手をつないで、行こう。DEVICEとあなたが出会ったのはきっと運命なんだ。迷い人には一番適正の合う精霊がつけられる。これからの旅路で、DEVICEはあなたのことをたくさん知っていきたい。DEVICEのことも知ってほしい。時間はたくさんある、だからいっしょに頑張ろう。DEVICEはね、ほかの精霊や姉さんみたいに特別優れたことはないけど、その分あなたのために頑張るから。,あなたのことをたくさん聞くことができて、うれしい。DEVICEのこともたくさん話せてうれしい。あなたとDEVICEは似てるところもたくさんあったね。あなたも特別なにかで一番ってことはないけど、その分いろんなことができた。旅の途中でも、DEVICEといっしょにご飯を作ってくれたり、DEVICEがバグと戦うときも協力してくれた。普通の迷い人ならバグと戦う術なんかないはずなのに。でも、そんなあなたといっしょにいたから気づけたんだ。DEVICEはね、ほかの電子精霊や姉さんみたいに、特別優れたことはないけど、その分いろんなことが平均的にできるのが自慢かな。鏡みたいなあなたのおかげで、DEVICEも自分に自信が持てたよ。DEVICEだけではできないことでも、あなただけではできないことでも、ふたりでやればできる。どんなことだってできるんだ。やっぱり運命だったんだ！さあ、もうすぐElysionに着くよ。あなたとの旅路、とっても楽しかった！,,,こちらDEVICE、あなたの協力が必要。,応援要請、DEVICE。,小鈴「助けて、姉さん」さやか「当然でしょう」,はるか先の、Elysionを目指して。
徒町小鈴,BR,16th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB16th%20Birthday%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,徒町、15回目の誕生日を迎えました～！あ！16です16！危ない危ない！なんと徒町、誕生日があります！先輩方や、吟子ちゃんに姫芽ちゃんはとっくに終わってしまった16歳の誕生日。ですから、今この瞬間まで、徒町が一番年下だったんです。あ、あり？そんなに驚きの事実じゃない、かな？……か、徒町は年下っぽいから！？そんなぁ、か、徒町、来年は2年生だよ？このままでやっていけるかなぁ。うわぁ……今から不安だ～！,どんなにダメダメな徒町でも、1年にひとつ年を取ることはできます。なーんてね。毎年そんな風に思ってたんだけど、振り返るとこれって完全な逃げ、なんだよね。いっつも人と比べてさ、自分はダメダメだーってわかってるのに。だから、こうやって言い聞かせて……。……でも、今の徒町は違うよ。ただひとつ年を増やしただけじゃない。この1年は、本当の本当に、たくさんのチャレンジが詰まってた！蓮ノ空に来てよかった！最初は、全寮制の学校ここしか見つけられなかったから、ってだけの理由で来た蓮ノ空だったけど、徒町、ここじゃなかったらどうなってたかな。徒町の想像力じゃ全然わかんないけど、ひとつ言えるのは、きっと蓮ノ空に来る以上の成長はなかったってこと。徒町の誕生日が来たってことは、今年度はあとひと月。3月も頑張ろう。3月は、もっともっと頑張ろう！綴理先輩たちに、胸を張って成長を見せられるように！,,,わぁ～……！祝って、くれるの？,16歳も、頑張ります！,,きょーうはー、徒町のー、お誕生日ー♪
徒町小鈴,UR,Her-bath-rium,https://wikiwiki.jp/llll_wiki/%EF%BC%BBHer-bath-rium%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,泉ちゃん、やっぱりかっこいい！同い年とは思えない……！え！？セラスちゃんのもよかったよ！徒町も一緒にやりたいぐらい！じゃあもう四人でやっちゃおうか！ね、さやか先輩！ね！,,セラスちゃん、DOLLCHESTRAに入った時の名乗りをいっぱい考えてくれたんだって！嬉しいなぁ～。あ、もちろん名乗りのこともそうなんだけどさ、スリーズブーケでも、みらくらぱーく！でも考えてたみたいで。徒町が嬉しいのは、そうやってどこのユニットに入ろうかなって、前向きに悩んでくれてるところなんだ。DOLLCHESTRAの後輩になってくれたらもちろん一番嬉しいけど……、一時はもうスクールアイドルにもなれないかも、ってなってたセラスちゃんが、蓮ノ空に来て、スクールアイドルになるために、あれこれ悩めてることが嬉しいんだ。形は違うけど徒町も、何物にもなれないと思ってたところから、こうして今の徒町になって……。そう考えると、これからのセラスちゃんがすっごく楽しみ！どこのユニットになっても、セラスちゃんは徒町の後輩だから！一緒に頑張ろうね、セラスちゃん！,えへへ、今日は小三角の三人で撮影です！流石姫芽ちゃん、徒町には想像もつかないこんな可愛い撮影を……フラワーバスって言うんだって、綺麗だよねー。そうそう、セラスちゃんと泉ちゃんがいろんなユニットを回ってることの話もしたよ。セラスちゃんは吟子ちゃんに懐いてるよねーって言ったら「あんなん懐いてないし！」ってプリプリしてた！でも吟子ちゃん、そうやって構ってあげてるから、セラスちゃんも嬉しいんじゃないかなー？ふふっ。姫芽ちゃんは、泉ちゃんと仲良しだし……、徒町も負けていられない！二人ともっと仲良くなって、ちゃんと先輩であることを示せるようにしないと！まずは……この写真、二人が気に入ってくれるといいな。うぐぐ……吟子ちゃんも姫芽ちゃんも綺麗だから……ライバルが強い……！,ねぇ、見て見てー！綺麗でしょー！,魂は、煉獄い。,小鈴「行くよー！姫芽ちゃん！」姫芽「よしよし。頑張ろうね～」,かっこいい先輩を目指します！
徒町小鈴,UR,アンペア,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%83%B3%E3%83%9A%E3%82%A2%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,ひとつひとつ、チェックシートを埋める、埋める……。ふふっ、徒町、こういうのすっごく楽しいです！こんなことになっちゃっても。うおおおおおちぇすとー！あと半分を切りました、姫芽ちゃんのチェックシート。すごいな～楽しいな～。ゲームの楽しみ方って、こういうのもあるんだね。,,105期DOLLCHESTRA、『アンペア』！全感情を放出する曲、です！ふふっ。さやか先輩とたくさん話して作りました。いや、ほとんどさやか先輩が作りましたけど。でも、なんだろう、さやか先輩の聞き取りがうまかったからなのかな、徒町がイメージしたとおりの曲になっててびっくりしました。さやか先輩、なんだかちょっと悩んでて。綴理先輩がいない状況で作る曲は、やっぱりさやか先輩にとってもプレッシャーだったのかなって。それで、徒町にもできることをしようって思ったんです！万全のさやか先輩なら、絶対にすっごいものができるはずだから！綴理先輩は確かにさやか先輩の憧れだけど、さやか先輩自身がすごいってことを、もっとちゃんとわかってほしいんだ、徒町は。だから、衣装とか、この曲の雰囲気とか、あとは作詞に使うフレーズとか、徒町なりに色々使い物になるかわからないアイデアをたくさん出して、そしたら、気付いたら、さやか先輩が完璧にまとめて仕上げてくれてました。流石です！なんにもない荒野でもふたりなら進める。道しるべの星を見失っても、ね。,綴理先輩がいなくなって、ふたりでやるDOLLCHESTRA、それはやっぱり星を失った荒野なのかもしれない。けど、徒町は思うんだ。今の徒町なら思えるんだ。大きく欠けたものがあったとしたら、それならそれで勝負するしかない。それならそれで勝負のしようがあるって。姫芽ちゃんから、持たざるものの闘い方なんて話を聞いたことがあって、吟子ちゃんからは必要なものがないなりのデザインの仕方なんていうのも聞いていて、だったらきっと、ないなりの良さを出せるって徒町は思った。欠けたものを求めているからこその美しさ。それってさやか先輩が徒町に言ってくれていることなんじゃないかな。なんにもない徒町が褒められて、頑張れって応援してもらえて、それだったらこのなにもない荒野にもきっと良さがあるんだ。だから、衣装のデザインは徒町が考えたんだ。うぁぁ、いや考えたっていうか、ふわっとしたものをさやか先輩がきれいに落とし込んでくれたんだけど、くぅ～、欠けたままではいられない、徒町もできるようになりたい！今年はもっともっと、頑張るぞー、ちぇすとー！！,さぁ、やってやりましょう！,全感情を放出！,小鈴「いきますよ、さやか先輩！」さやか「はい、楽しみにしています。」,Way to be the light.
徒町小鈴,UR,"Bloom the smile, Bloom the dream!",https://wikiwiki.jp/llll_wiki/%EF%BC%BBBloom%20the%20smile%2C%20Bloom%20the%20dream%21%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,最近暖かいし、意外と傘なしでも行けるんじゃないかと思ったんです。思ったより雨粒大きくて、めちゃめちゃ痛かった！でも、なんとかたどり着けました！ 帰りは……あー、雨が止んでることを祈ります！,,Bloom the dream...なんていうか、その、すごかったんだ！徒町がこれまで知ってた曲は綴理先輩がサラッと作ってたり、元からあった曲だったりで、こうやって曲が作られていく流れをずっと見ていられたのは初めてで...こうやって一つの曲ってできていくんだなーって感動しました！瑠璃乃先輩が曲を作っているときも、ほえ～って見てて...花帆先輩がその曲を何度も聴きながら、一つ一つの歌詞を作っているときも、ぽへ～って見てて...！最後はさやか先輩が二人のバトンを受けて、全体の振り付けを考えてて...3人で話し合いながら、だんだん形になっていくのが、すごいな～って思って！徒町は応援してただけだけど...でも、曲作りもすっごくやってみたいって思ったんだよ！力を合わせて作った曲が、みんなの力を合わせる曲だったのも、徒町的にはすごく好きで...よくわかんないけど、曲って気持ちに添って作るものなのかなぁ。徒町だから、的外れなこと言ってるかもしれないけど！,梅雨が本番になってきたね。雨の降る日が多いと、徒町的にはちょっと大変。だってさ、朝になっても暗いんだよ！あれ、まだ起きる時間じゃないんだっけ？なんて思うとね、起き抜けの徒町は騙されやすいので、すぐ二度寝しちゃうんだぁ。自分で自分を騙してちゃ、世話ないよねぇ。今日もそれで寝坊して慌てて外出たら、めちゃめちゃ雨降っててさ！はぁ、傘取りに部屋戻ればいいのに、慌ててたからそのままダッシュで学校に行っちゃった！みんなにめっちゃ心配されちゃって、なんか恥ずかしかったです。いくら徒町だって、雨の中傘ささないチャレンジなんてやらないよ！？雨粒全部避けられるなら別だけど...あっ、小雨の時、やってみようかな。,頑張りが実るまで、ちぇすとー！,今日までの頑張りを！,小鈴「今日のためのこれまで！」吟子「うん、合わせよう」,先輩達と、一緒に！
徒町小鈴,UR,レディバグ/麗,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%AC%E3%83%87%E3%82%A3%E3%83%90%E3%82%B0%EF%BC%8F%E9%BA%97%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,今日は日差しが強いねぇ。熱中症には気をつけないとだね。大丈夫！徒町、体調管理だけはしっかりするようにいっつも言われてるから！体調崩して倒れたりしたら、何日か何もできない徒町が誕生してしまいます！何もできない徒町...そいつは...もう... ...なんだ？人間か...？,,あっちへバタバタ、こっちへバタバタ。失敗もたくさんしちゃったけど、今回はみんなでステージの準備頑張りました！...あぁ、ごめんごめん。今回は徒町、なんだか嬉しくって。吟子ちゃん、かっこいいなって。ただかっこいいだけじゃなくて、色々迷って、その先で決めたことをまっすぐに成し遂げたというか。この衣装はね、吟子ちゃんのバッジなんだ。一番大事なものを、自分の手で蘇らせる。徒町には伝統がどれほど大事なものなのか、吟子ちゃんみたいに理解することはできないけど、でも、大事なものってことだけはわかったから。それだけわかれば、吟子ちゃんの思いが乗った衣装がどれほど大事なものかっていうのはわかるんだ。多分ね、吟子ちゃんが作ったから大事、っていう徒町の気持ちが、十何年分も乗ったもの。それが、吟子ちゃんの背負ってるものなんだと思う。だから嬉しいんだ。その背負ったものをこんな風に素敵なものにできるんだ、徒町の友達は！,徒町も、徒町にできることをしようって思ったんだ。いや、できることはないんだけど、なんか、ほら、こう...徒町でもどうにかなる、こと？みたいな？だって、吟子ちゃんのおばあちゃんが来てくれるんだもん！吟子ちゃんが頑張って作った衣装がステージで輝いているところ、絶対見せたいよ！徒町も、ライブで失敗はしちゃうかもだけど、それでも衣装が綺麗だってことだけははっきりわかるように。そういうパフォーマンスができたらいいなって。吟子ちゃんは「クラブで自分にできることなんかない」って言ってたけど、そんなことないよって示したい。最初に示せるのは今だと思うから！,暑さに負けない徒町です！,合ってる？合ってて！,小鈴「徒町小鈴です！」吟子「そうだね、小鈴」,みんなで作るステージ、徒町も！
徒町小鈴,UR,太陽であれ！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%AA%E9%99%BD%E3%81%A7%E3%81%82%E3%82%8C%EF%BC%81%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,うおおおおおー！できたぞー！すごいぞー！広実さーん！間違ってなんかいない、目指したことは！徒町も、広実さんも、誰であっても。今日は最高の日にしよう。夢の時間はここにある！,,徒町、本当に勉強になりました。今回のこと、最後まで自分でやれてよかったなって、今なら思えるんだ。途中心折れそうになったこともあった。徒町じゃないほうがうまくいくんじゃないかってすごく思った。でも違ったんだ。徒町が始めたんだ。こういう言い方するとあれだけど、広実さんを、みんなを巻き込んだんだ。最初の一歩、先へ進もうって言い出したのは徒町で、進む先にある太陽の場所を知っていたのは徒町で。だったら徒町がやらなきゃいけなかったんだ。だって、行きたかったのは徒町だから。靄がかかって、見通しの悪くなった蜃気楼の向こう側だったとしても、そこに太陽があるなら、進まなきゃ！,"徒町にもさ、徒町だけのきらめきが、いちばん星色のきらめきがあるんだよ。知ってた？……あれ？知ってた！？……ばかな。徒町もようやく気づいたのに。あ、気づいたっていうか、教えてもらえたっていうか。ま、まぁそれはさておき、さやか先輩に言われたんだ。もうなんにもできない徒町じゃないって。2年生になって、吟子ちゃんや姫芽ちゃんがどんどんいろんなことをやろうとして、正直徒町は焦ってた。2年生といえば、徒町が出会った時のさやか先輩だって2年生だったんだから。でもやりたいことって""出会い""だからさ。焦ったって仕方ないってこともわかったよ。こういうことがしたいって思って、そのために頑張っている時に、きらめきっていうのは出るものらしい。きっとさやか先輩のきらめきは、徒町や、綴理先輩を魅了した。だからかな、徒町にきらめきがあるって言われてすごくうれしかったのは。これからも、きらめき頑張ります。さやか先輩が魅了されるくらいに！……なんて。",みんなで目指そう、でっかい太陽！,さぁ、笑って！,小鈴「限界まで、頑張るぞー」さやか「道の果てまで、ちぇすとー！」,君が求めるものに、手を伸ばせ！
徒町小鈴,UR,Link to the FUTURE,https://wikiwiki.jp/llll_wiki/%EF%BC%BBLink%20to%20the%20FUTURE%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,ねえねえ、小三角ってどこにあるのかなぁ？……ないなら作っちゃおうよ！あの辺の星とか、どうかなぁ！我ら「蓮ノ小三角」！なんて、まだまだ大三角には程遠いかもしれないけど、吟子ちゃんと姫芽ちゃんと、これから3年間一緒に成長していくんだ！頑張るぞー！ちぇすとー！,,9人で歌う『Link to the FUTURE』。みんなと繋がる歌だからこそ、徒町が足を引っ張っちゃいけないんだ。ステージに立った時から、九人十脚。歌って踊って、みんなと繋がって、万人万脚。ここで徒町が転んだら、万人みんな倒れちゃうからね！この曲を歌うってことを考えた時から、足りない部分は何が何でも拾わないとって思ったんだ。たくさんチャレンジしたよ。3年生の先輩にも、2年生の先輩にも挑んで。無茶だってわかってても、戦うのは楽しかったなぁ。楽しむだけじゃダメなんだけどね。吟子ちゃん、姫芽ちゃんも真剣で、このままじゃ嫌だって気持ち。勝ちたいって思う気持ち。2人の気持ちを背負いたかった。まだまだラブライブ！は始まったばかりだけど、この気持ち、徒町は大事にしたいな。,悔しかったんだ。ふたりと一緒にたくさんチャレンジして、ふたりのいいところをたくさん見て……なんだったら、入学して半年して、一番1年生だけで一緒にいた、そんな時間だった。だからこそ、かな。すっごいダンスの上手い人に出会って、その人にいろいろアドバイスとかしてもらってたんだけど……姫芽ちゃんは徒町たちと分かり合えてないとか、吟子ちゃんはきみが思うより下手だとか……。そりゃあもう、めっちゃ怒っちゃったよ。そのあと、姫芽ちゃんのおかげで、徒町たちのことを思って言ってくれたっぽいことは知ったけど……。それにしたって、素直にお礼も言いにくいよね！お礼ついでに、徒町たちはあなたが思うよりもっともっとやれるってこと、見せないと！……そのためにも、ぽかぽか失敗ばっかりしてる場合じゃない！あの人、ラブライブ！見てくれるといいなあ。,徒町も、みんなと繋がる！,ここからだよ、ここから！,小鈴「なんでも言ってね！」姫芽「アタシも頑張るよ～！」,弱点も一つ一つ、克服します！
徒町小鈴,UR,バアドケージ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%90%E3%82%A2%E3%83%89%E3%82%B1%E3%83%BC%E3%82%B8%EF%BC%BD%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,るんるーん！るんるーん！大阪ー！来たぞー！さやか先輩、まだかなぁ？綴理先輩は寝ちゃってるし、ライブの時間までどこ見て回ろっかなぁ？...楽しみだなぁ。観覧車とか、さやか先輩は好きかなぁ？,,鳥籠の中は心地良くて、でも飛び出さなきゃいけなくて。って、今回のことを綴理先輩はこういう詩にするんだなぁ...。徒町、感動しました。鳥籠って言うと、徒町はやっぱり家のことを思い出しちゃうからさ。籠からは飛び出すのが当たり前だし、それが偉いってわけでもないと思ってた。...って、そんなことを綴理先輩に言ったんだ。そしたら、聞かれたんだ。「すずは家にいた時、一緒にいた家族嫌だった？」って。それはそんなことなくて。むしろ、凄く好きで。でも、徒町じゃ何もできなくて...。そう言ったら綴理先輩は「だったらもうその時のすずは、ボクよりすごい。」って笑ってた。「ボクより先に、温かいところから飛び出したんだ。」って。その時に、はっとしたんだ。もちろん徒町がすごいって話じゃないよ？綴理先輩にとっては、鳥籠っていうのは出なきゃいけない場所じゃなくて、凄く...優しくて、ずっと居たい場所で。でも、それでも飛び出すことを決めたのは、徒町と同じで、外に出て何かしなきゃって思ったからなんだって。だから徒町、歌うよ。綴理先輩のこれからのために！,遠征、楽しい！さやか先輩と綴理先輩と、みんなで楽しむライブツアー！ライブの前の日は、綴理先輩着くなり疲れて寝ちゃったから、さやか先輩と観覧車に乗りました。高いところから見る景色はちょっぴり怖いけど、すごく綺麗で。さっきまであの場所に自分がいたんだなって思うと、なんというか、不思議でした。同じ場所でも、高さが違うだけでこんなに見える世界が違う。綴理先輩の見てる景色って、もしかしたら徒町と全然違うのかも...。そんなことを言ったら、さやか先輩は「私ももう少し身長が欲しいです」って言ってた。えへへっ、徒町もですって笑ったよ！でもさやか先輩は、身長だけじゃなくて、見える世界が変わる成長はたくさんある、って教えてくれました。確かにそうかもしれません。去年の徒町じゃ、こんな観覧車の高い高い景色は見られなかったから。先輩たちとの出会いもそう。徒町自身の頑張りもそう。来年は、もっと高い観覧車に乗りたいなぁ。,徒町は、足を引っ張らない！,みんなー！せーの！,小鈴「一緒に行こう！」綴理「一緒に、行こう！」,みんなー！盛り上がってるかー！...なんて。
