メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
日野下花帆,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,わぁ、旅人さんだ。あたし、外の世界の人初めて見たかも……。へぇ……。ここに来るのすっごく大変だったでしょ？すごいすごーい！そうだよ、ここは世界樹の村。そしてあたしは、世界樹の声を聴く、村にたった一人の巫女なのです。あ、ねぇねぇ、今夜泊まる場所がなければ家においでよ！それでね、えへへ……外のお話、いっぱい聞かせてほしいな！,夜遅くまでつきあってくれてありがとね、旅人さん。あたしね……ほんとは外の世界で生まれたんだって。でも、孤児だったあたしは、ここの村人が拾ってくれたの。それからは本当の家族みたいに愛してくれて…….だから、この村のみんなが好き。大好き。あ、ごめん、急にこんな話をしてもわかんないよね。じゃあじゃあ、お礼の代わりに、あたしの舞を見せてあげる。世界樹には優しい女神様が住んでいてね、あたしが上手に踊れるようになると、村にいっぱいお花を咲かせてくれるんだ。あ、でもね、今回は女神様にじゃなくて、君のためだけに踊るから。しっかり見ててね。,,,世界樹の巫女、踊りまーす,しっかり見ててね,花帆「女神様？あたし、頑張ります。」梢「ふふっ、楽しみにしているわ。巫女さん。」,あたし、この村が大好きだもん
日野下花帆,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,あ、おかえり～！久しぶりだね！ね、元気だった？うん！もちろんあたしは元気だよ！すっごく元気！後でさやかも瑠璃乃も呼んでくるね！きみが目覚めたって聞いたらみんな会いたがるに決まってるもん！最後に会ったのて10年、100年……、どれくらい前だっけ？えへへ、忘れちゃった！そうそう、人間さんたちもすっごく進歩したんだからね！きっと、様子を見に行ったら驚くよ～！……それとも……。ね、みんなが来る前に、二人だけでこっそり地上に降りちゃう？え～？大丈夫だよ！怒られたりしないよ！だってきみは、あたしのパートナーなんだから！,,きみのいない間は、花帆はパタパタと世界中を飛び回って、たっくさんのお花を咲かせてたんだよ？春は大忙し、夏も大忙し、秋にも咲く花はいっぱいあるし、なんだったら冬も……。というかそもそも、世界の何処かではまた春が来てるわけだし！さらにさらに、きみがいない間に人間さんは冬でも春のお花を咲かせることができるようになったりして！すごいんだからね！えへへ、後で案内してあげる！君が好きなお花は、ちゃんと覚えてるからね、あたし！当たり前でしょ？……え！？それいつの話してるの～？新米天使だった頃なんて、ずっと、ずぅ～っと前なんだからね！今じゃ梢お姉さまに認められた超一流の立派な天使ですもん！ふっふ～ん、だったら見せてあげちゃおうかな！あたしの力！本日は全世界でお花が満開になることでしょう～！なんちゃって。……え？あれ？あ、あたし、今ほんとに力使っちゃった？えぇ！？どうしよう！このままじゃ世界が異常気象って言われちゃうよ！うわ～ん！手伝って！お願い、リカバリー手伝って～！あたしのパートナーでしょ～！？,,枯れ木に花を、咲かせちゃおう！,ぱたぱたぱた～,○○○○○○,超一流天使の実力だぞ～！
日野下花帆,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,○○○○○○,○○○○○○,,,○○○○○○,○○○○○○,○○○○○○,○○○○○○
日野下花帆,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,Happy Birthday to me！フラワー！花咲きました！本日お誕生日の日野下花帆です！見て見てー！こんなに綺麗にして貰っちゃった。えへへ、どうかな？17歳になったあたし。大人っぽい？それともまだまだお子様？自分じゃ良く分かんないんだもん。ね？花帆に教えて？,あ、そういえば。さっきお母さんもお祝いの電話くれたんだけど、なんかあたしが昔書いたお手紙を見つけたって言ってて。それが未来の自分に向けた手紙だったんだよ！書いたこと全然覚えていなかったのに。えーとね。「こんにちは、17歳のあたし。元気に過ごしていますか？」……元気にはなったかな。えへ。「今小学生のあたしは文集に魔法使いになりたいって書いたんだけどなれましたか？」それはちょっと難しかったかも。「ピーマンは食べられるようになれましたか？」なれました！「毎日が楽しいといいなと思いました。頑張ってください」……うん、そうだね。あたし、友達も先輩も後輩も、それにみんながいてくれるからもう寂しくないよ！楽しいがいっぱいだよ！だから花帆ちゃん、安心して未来へおいで。ね！,,,日野下花帆、17歳です！,大人の花帆だよ。,,未来はこんなに綺麗だよ！
日野下花帆,BR,18th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB18th%20Birthday%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,いえ～い！フラワー！花帆は18歳になりました！！今年もやってきました！スクールアイドル、日野下花帆が3度目のハッピーバースデー！蓮ノ空のこと好き好きクラブのみなさんと、まさかず～っとお祝いできるなんて、あたし嬉しい！すっごく嬉しいな！それじゃあね、この嬉しいっていう気持ちを、い～っぱい込めて……みんなには、お礼の投げキッスを送っちゃうね♪ちょ～っと恥ずかしいけど……でも、受け取ってくれると嬉しいな♪それじゃあ、いくよ～っ！「みんな、ありがとっ！ん～まっ♡」,今年はね、みんなと一緒に未来のあたしに送る手紙を書きたいなって思っててね。タイトルはズバリ、「28歳の日野下花帆さんへ」だよ。えーっと、「拝啓 10年後のあたし、お元気ですか。あたしはすっごく元気です。今日もさやかちゃん、瑠璃乃ちゃん、クラスのお友達に誕生日イブでお菓子をもらいました。毎日が楽しくて、蓮ノ空で過ごした3年間は、きっとあたしの宝物になっていると思います。28歳のあたしは、18歳のあたしじゃまだ想像も出来ないような大変なこともいっぱいあると思います。でもきっと心配いりません。困ったことがあっても、吟子ちゃんや梢センパイ、部活のみんながきっと力を貸してくれますから。だから楽しんで夢を花咲かせてください。」ん……うん！これでどうかな？いいかも？いいと思う？やった！あとは手紙なんだけど、んー、あっそうだ！こっそり部室の棚の裏とかに隠しておこうかな。そして10年後、また部室に取りに戻って来るの。ナイスアイデア！ふふっ、未来のあたしはどんな夢を見てると思う？ね、みんなで10年後、答え合わせしようね！みんなでまた集まって、ねー！,,,日野下花帆！なんとなんと、18歳！！,ハッピーハッピーバースデー！,,み～んな！愛してるよ♪
日野下花帆,UR,春色ニューデイズ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%98%A5%E8%89%B2%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%87%E3%82%A4%E3%82%BA%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,蓮ノ空女学院１年生、日野下花帆です！……って、ようやく言えるよ～。お勉強すっごく頑張って、なんとか合格したんだから！あたし、大都会の金沢で、立派に花咲いちゃうよ～！……あれ？なんだか様子が……変？,,,,新しい日々の、はじまりはじまり～！,見ててね、みんなー！,花帆「これが……スクールアイドル！」梢「とっても、素敵でしょう？」,あたしの物語は、ここから始まるんだよ！
日野下花帆,UR,Rose Garden,https://wikiwiki.jp/llll_wiki/%EF%BC%BBRose%20Garden%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,見て見て！寮に素敵な花壇があったんだよ！お世話したいですって言ったら、この一画は好きにしていいですよ、だって！えへへ…一年中色んなお花を咲かせてあげたいなぁ…,,クレマチス、キンセンカ、マーガレットにチューリップ…！春はお花で賑わう季節！学校の花壇を見るのも、毎日楽しいんだよ！なんでかな？長野の家でお花に囲まれてた頃より、今の方がお花を身近に感じちゃうんだ！それってもしかして、あたしの心のお花もすくすく育ってる証拠…だったり？,そっか！あたし、分かっちゃったかも！毎日お世話して、ちゃんとお手入れしてあげて、それでお花が咲くとすっごく嬉しくなれるのは…それって、あたし自身を育てることと一緒なのかなって！あたしが今、スクールアイドルを頑張ってるから、一生懸命咲き誇ろうとしてるお花さんたちのことも、身近に感じるようになったんだ！…花壇の皆のこと、あたしがちゃーんと立派に咲かせてあげるからね！雨と、風と、太陽を浴びながら、一緒に頑張ろうね！…というわけで、梢センパイも、あたしを咲かせるのも枯らせるのも梢センパイ次第なので、ちゃんと面倒見てくださいね？,花壇に花を、咲かせましょう！,がんばろうね！,,みんなのこと、ちゃーんと見てるよ！
日野下花帆,UR,Holiday∞Holiday,https://wikiwiki.jp/llll_wiki/%EF%BC%BBHoliday%E2%88%9EHoliday%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,下手っぴだって、いつかきっと！えいっ、よいしょ！んー、ここはもっと、腕を大きく動かして、ステップ！よっと……、うわ、わぁ！いったた、また転んじゃった……。うん、でも今のは惜しかったかも……？よし、もう一回！,,別に、全然無理してるわけじゃないんですよ？一人での自主トレは、ダメなとこを教えてくれる人がいないので、ちょっと大変ですけど……。でも、ダンスの練習、楽しいんです。一昨日より昨日、昨日より今日！やればやるほど、できないことができるようになっていって。あたしもいつか梢センパイみたいに……！ホップ！ステップ！ジャーンプ！,上手な人のダンスって、まるで大輪の花が咲いてるみたいに、すっごく華やかだよね。見てると夢中になっちゃって、曲が終わるまで目が離せなくなっちゃったりして。あたしも、スクールアイドル続けていたら、そんな風になれるのかな？……うーん、100年ぐらいかかりそう。あ、でもね。終わってから、梢センパイに「前より上手になった」って褒めてもらえたんだよ！すごくない？あたし、着実に毎日進んでるんだ！どんな大きな木だって、最初は種から育つんだもんね。よーし！だったらあたしも、10倍のスピードで成長していけば……！うっ、それでも10年かかっちゃう。だめだぁ～。,ねえ、一緒に踊ろう！,リズムに乗って♪,花帆「あたし、まだまだ行けます！」梢「ふふっ、すごいわ。練習の成果ね」,みんなで、盛りあがろうー！
日野下花帆,UR,春風ブランコ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%98%A5%E9%A2%A8%E3%83%96%E3%83%A9%E3%83%B3%E3%82%B3%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,ねえ～～、吟子ちゃーんおねがーい！！えへへ、やったー！あたしもね、梢先輩と一緒に布屋さんとか巡ったりしてるからこういうお店大好き！あ、でもはしゃがないって約束だった…。うーん、おとなしく見学…おとなしく…。,,春が来ました！日野下花帆です！なのでブランコに咲いてみました！チェリーブロッサムだよーっ！今回のお衣装のポイントは勿論ピンク色のワンピースも可愛いんだけどあたしは靴下がすき！ほら！このワンポイントの花飾り、すっごく可愛いよね！お花いっぱいの服で皆にも春を届けちゃうんだから！えへへっ！,みんなは新学期になってどうかな？春ってなんだかあっというまに時間が過ぎちゃうよね。毎日どたばたしてるからかなぁ？でもせっかくだから新しいことも始めたくってね。ふっふっふっ...あのねあのね大発表！なんとあたし日野下花帆は2年生に進級したので、いつもより5分早く起きることに決めました！！わー！たったのそれだけ？じゃないよぅ！５分は凄いんだから！一年続けたら365日で約30時間も時間が増えちゃうんだよ？すごーい！ふっふっふっ...今年の日野下花帆は一味違うんだからねっ！皆楽しみにしていてね！,桜の花びらひ～らひら～,春が来たぞー！,花帆「2年生になったさやかちゃん、かわいい～！」さやか「先月と一緒ですよ～！？」,桜とあたし、どっちが綺麗？　なーんて！
日野下花帆,UR,Celebration!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBCelebration%21%EF%BC%BD%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,うふふふ、いい音色でしょ、吟子ちゃん？この蓄音機はね、かつて全校生徒に慕われ、その歌声で蓮ノ空をラブライブ！優勝へと導いた、女神のような少女が愛した、伝説の蓄音機なんだよ……。吟子ちゃんも、また来年後輩が入ってきたら、そう言い伝えるんじゃよ。分かっておるね？,,みんなー！改めてこんにちは！ 105期スリーズブーケ、日野下花帆と、百生吟子でーす！というわけで、あたしたちの新曲、『Celebration!』はどうだったかな？ 可愛い？楽しい？ありがとう！！ あたしもね、賑やかでライブするのがとっても楽しみな曲になったと思うんだ！特に吟子ちゃんのパートには、いっぱいかわいいを詰め込んじゃったからね！衣装もそうだけど、今年はあたしが、吟子ちゃんのかわいさをいーっぱい引き出しちゃうんだから！先輩花帆プロデュース、みんなも期待しててね！,そういえば、姫芽ちゃんに言われて初めて気づいたんだよね。「『Celebration!』って、うっすらめぐちゃんせんぱいっぽいですね」って。確かに！ あたしも可愛いとか楽しいとか大好きだし！ ていうかそもそも曲のノリ自体が、なんか『ハッピー至上主義！』っぽいし！ あたし、知らず知らずのうちに、慈センパイの影響を受けちゃってた！？ そうなると、今年のスリーズブーケは、あたしのせいでちょっぴりみらくらぱーく！っぽくなっちゃう可能性も！？ でもでも、だからスリーズブーケにも、『Mix shake!!』みたいな伝統の曲が伝わってるんだし、きっといいことだよね！ うん、大丈夫！ いいことです！ ……と、いうわけで、作詞も作曲もまだまだ手探りだけど、全部頑張っちゃうんだから！ ね！,Are You Ready? イェーイ！,リンゴンリンゴーン♪,花帆「きゃー！吟子センパイー！可愛いー！」吟子「う、うん！ま、まあね！」,あたしたちの、晴れ舞台だー！
