メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
村野さやか,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,あら、人間の方がいらっしゃるのはいつ以来でしょうか。ようこそお越しくださいました。ここは世界樹の村。わたしはここの妖精たちのまとめ役、村長をしております、さやかといいます。遠いところまでご苦労様です。この村には宿場の一つもありませんから、よろしければどうぞ、わたしの家にお泊りください。それとも……。……そうですね、もしもあなたがよろしければ、いっそのこと、ここの村人になりませんか？旅の方がやってくるのは珍しいのですが……わたしの姉代わりに育った巫女は、元々外で拾われた子ですし……最近はふらっとやってきた妖精が、そのまま居着いていらして。こちらの負担はお気になさらず。普段はこちらからお誘いなんてしないんですけど……どうしてでしょうね、あなたが村人だと、不思議と嬉しい気がするんです、わたし。ふふっ。,村でのお仕事は、意外と多くて大変なんです。お手伝いいただけて助かります。……まったく、あなたに比べて、あなたと同時期にきた綴理さんと来たら……！もう……！……はぁ……。気が付けば部屋でゴロゴロしているし、普通にご飯は家で食べていくし、目を離せば門番さんを振り切って世界樹の上まで遊びに行くしで……！……はぁ……。危なかしっくて仕方ありません……。見つけたら教えてくださいね！とっ捕まえますので！……はぁ……。あれで舞だけは、妖精の誰よりも美しいのですから……。始末に負えません……。あぁ、舞というのはですね、わたし達妖精にとってはとても大切なものなんです。天変地異を沈め、世界樹を祝福し、日々の糧を育てる。そのどれもがわたし達の舞によって成立してるんです。あ、他の誰かの舞はご覧になりましたか？まだ、ですか……。でしたら……その……あの……ご、ご覧になっていかれますか。わたしの舞でよろしければ。,,,わたしの舞も、お見せします！,祈りよ、届きますように！,さやか「仕事してください！」綴理「がんばる。」,村人さん達のために！
村野さやか,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,あら、こんにちは。わたしの神殿にわざわざいらっしゃらなくとも、お呼び出し頂ければこちらから向かいましたものを。……といっても、今日はわたしが人間に祝福を授ける日。あまりあなたのお構いはできませんが。……それとも、ご覧になっていきますか？だとしたら、より一層気合を入れて臨みますよ。わたしが司るのは『気持ちの高揚』。わたしの天使としての権能に相応しい歌を、あなたの期待に最も応えるこのわたしがお見せいたしましょう。あなたには、いつも支えられていますからね。だからこそ、あなたの目に映るわたしは、誰よりも美しく、強い天使で在らねばならないのです。,,さて、いかがでしたか？わたしの祝福の歌は。あなたの期待に応えられたなら、それが何よりの幸福です。わたしたち天使は…………中でもわたしと綴理、それから小鈴の三人は、あなたが作ってくれた翼があって、ようやく役目を全うできる。……不完全な天使ではありますが、それでも消滅寸前だったわたし達は、地の底で救いを手に入れたからこそ、与えられた役目に真摯に向き合います。あなたの期待がわたしの力。あなたが思いを込めてくれるから、わたしは飛べる。ずっとそばにいてとは申しません。ただどうか、これからもわたしを見ていてください。それだけで、わたしは誰よりも幸せです。,,それではいつも通り、参りましょうか。,はぁ……まぁ、如何様にも。,さやか「続きなさい！」小鈴「はーい！」綴理「続く続く～♪」,仰せのままに、皆を鼓舞する祝福を。
村野さやか,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,お初にお目にかかります。銀河ネットワークの案内人、電子精霊TERMINAL、ここに。あなたとこうして出会えたこと、心よりうれしく思っています。といっても、あなたのほうは混乱が勝ちますよね。説明しましょう。ここは銀河ネットワークの入口。人間が迷い込むのはよくあること。ですが、あなたをそのままこの銀河で漂流させてしまうと、この世界のバグに取り込まれてしまいます。そのバグからあなたを守り、はるか彼方のElysionまで導くのが、精霊の務め。あなたにつけられたのが、このわたしというわけです。大丈夫、心配しないで。あなたの身はわたしが守ります。あなたの心は、わたしが癒やします。あなたの敵は、わたしが降します。どうか安心して身を任せて、ともに参りましょう。きっと楽しい旅路になりますよ。わたしはあなたと出会うこの日のために、たくさんこの旅路について勉強してきましたから。行きましょう、銀河の果てまで、ふたりで。,ご不便はありませんでしたか？ご不満な点は？この旅路は、あなたにとって快適なものでしょうか。わたしは精霊の中でも少々世話焼きな気質があるようなので、煩わしく感じたらごめんなさい。問題がなければ、このまま進めさせていただけると、わたし自身はとてもやりやすいです。妹には構いすぎだとよく怒られるのですが。あぁ、はい、妹が。精霊としての世代がひとつ違う、でもできた妹です。もしもお会いできたら、あなたにも紹介したいですね。きっと今頃、あの子も誰かを連れて、Elysionに向かっているはずです。かわいい子ですよ。でも、ひとつ心配なのは、あなたとわたしであの子に構い始めたら、わたしがふたりに増えたと思って怒らないでしょうか。ふふっ、ま、まあ会ってから考えればいいことですか。ふふっ、Elysionに着くのが、今からとても楽しみです。,,,こちらTERMINAL。……では、エスコート致しましょう。,応援要請。TERMINAL。,さやか「そちらは大丈夫？」小鈴「問題ないよ。姉さん。」,心配しないで。わたしの手をぎゅっと握っていて……
村野さやか,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,日々一歩一歩と歩みを進め、いつもみなさんに支えられて。おかげさまで、この日の幸せを噛みしめながら、村野さやか、17歳になりました。17歳になっても、変わらぬ自分で。理想を目指して、積み上げていきます。スクールアイドルになってからというもの、わたしのことを知って応援してくれている人には、本当に恵まれています。これから先も、座右の銘は「心堅石穿」。頑張ります。あ、わたしの好きな言葉の意味は、知ってもらえていますか……？ふふっ。,ふふっ、どうしましょうね。なんだが、あまりに幸せです。みなさんに支えられて、17歳になりました。改めて振り返ってみると、去年も、今年も。本当にいろんなことがありましたね。いろんな時間をみなさんと過ごしてきましたね。今、わたしたちは大忙し。本日の週の始まりの月曜日。慌ただしくもありますが、その中でもこうして祝っていただけるのは、心から嬉しいですし、みなさんと繋がった、絆のようなものを強く感じます。2年前は、わたしの方から殻にこもって、人との関係を拒絶してました。1年前は、ようやく自分の為すべきこと、為したいことがようやく鮮明になって、おかげで、一歩を踏み出すことができました。今年のわたしは、と、振り返ってみて思うんです。「わたし」と一人のことのように言うのを躊躇ってしまうなど、今年の「わたしたち」は、スクールアイドルとして大きな壁を越えようとしています。その真っ只中に、今があります。ここまで来られたのも、みなさんと過ごした日々のおかげ。であるならば、この壁も、乗り越えてなお同じことが言いたいです！来年のわたしがまた、笑顔でいられるように！これからも、一日一日を積み上げていきます。どうかこれからも、応援よろしくお願いします。……さて、うーん……。どうにか時間を縫って、ケーキを焼きたいですね……。梢先輩に、レシピを教えてもらいました。慈先輩が、みなさんに呼び掛けてくれるそうです。わたしの誕生日ケーキを、わたしが焼くのはどうかな？と思ったのですが、綴理先輩が「食べたい」と言うので。まあ、こんな誕生日も悪くはありませんね。17歳の誕生日は、今日だけなんですから。,,,今日からまた新しく、一歩進んだわたしです。,さ、練習練習。いつも通り。,,17歳って、もっと大人だと思っていました。
村野さやか,UR,スケイプゴート,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B9%E3%82%B1%E3%82%A4%E3%83%97%E3%82%B4%E3%83%BC%E3%83%88%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,もうこんな時間！？わたし、夢中になっちゃって… な、なにぶん、自らの手で会場を彩るという経験を過去にしていなかったものですから！つい時を忘れてしまったと言いますか、その…はい…た、楽しかったです…,,応援してくれる皆さんが最高の1日を過ごすために全力を尽くす。やれることを全部やったという事実は達成感と一緒に自信をくれる。わたしたち皆で作った会場は、わたしたち自身が込めた気持ちと共にある。だからでしょうか、会場の皆さんに1番見せたいわたしを見せられる気がするんです。き、気のせいじゃ、ないと良いな…,綴理先輩が言っていました。スクールアイドルとは、不完全でも熱を持った皆で形作る芸術である、と。だとしたら…ですよ、来てくれる皆さんのことを思いながら会場設営をしたあの時間は、きっとわたしにとって大切な時間だったんです。ちょ、ちょっと、時を忘れて夢中になり過ぎた気はしますけれども！で、でも、真面目に取り組んでいますからね！遊んでいたわけじゃないですからね！え、ええと、だからですね、わたし、また一つスクールアイドルのことが分かった気がして…そして、また一つスクールアイドルのことを好きになれた気がします。これは、そんなちょっとしたご報告です。,さあ、開演です。どうか、足元にお気をつけて。,こんなものではありませんよ！,さやか「では今から」綴理「すごいことをしよう！」,これが、DOLLCHESTRA！
村野さやか,UR,アンペア,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%83%B3%E3%83%9A%E3%82%A2%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,そんな言葉まであるんですか、ゲームの世界というのは面白いですね。たまに瑠璃乃さんが使っている言葉とかも、もしかしたら全部ここから来ているのかもしれませんね。ばえーんとか、メロいとか。あ、それは違う……？じゃあ瑠璃乃さんは一体……？,,DOLLCHESTRAで『アンペア』をお届けしました。いかがだったでしょうか。お楽しみいただけたのなら、それ以上の幸いはありません。っ、ちょっと硬すぎますかね。勝手がわからずなかなか。改めて、わたしがメインで作った曲を小鈴さんとふたりで披露、その実感があるからでしょうか。初めてのことではないんですよ。小鈴さんとは何度かふたりでステージに立った経験もあります。綴理先輩もぜひやるべきだと背中を押してくれて。思えばあれは、予行演習でもあったのかもしれませんね。……ほんと、いつも敵わない。そう、そんな思いがわたしの中に強くあるんです。いざこうして年度をまたいで、すぐにさあ3年生だ、DOLLCHESTRAはふたりだと言われて、去年と同じかそれ以上のパフォーマンスをしなければならない。それが本当にプレッシャーではありました。でも、DOLLCHESTRAは舞台。いつだって心を叫んできた。だったら、今のこの気持ちだって、そのまま叩きつけるに値する。それがこの『アンペア』です。,それにしても、小鈴さんは本当にすごいですね。わたしが悩んでいることを察してなのか、それとも完全に偶然なのかはちょっとわかりませんが、わたしとふたりでの曲を作る時に、「なんだって歌いましょう」って元気よく言ってくれるものですから。彼女の言葉に背中を押された部分は本当に大きいです。綴理先輩と違ってわたしにはそうそう独特な感性などもありませんから、歌詞の出来なども不安はあったのですが、「これはかっこいいです」と小鈴さんが言ってくれるだけで自信が持てるんですよね。それから、小鈴さんに作詞のアイデアを求めると、本当にたくさん出てきます。本人は使えそうなものがあったら使ってくださいくらいの勢いで言ってくるんですが、使えるも何も、どれも本当に素晴らしい単語で、これもまた、わたしにはない感性で支えてくれると言いますか。あまり考えたことはなかったのですが、綴理先輩と小鈴さんってちょこちょこ似ていますよね、ふふっ。,星に祈るのはもうやめよう。,全身全霊を。,さやか「さぁ行きますよ、小鈴さん！」小鈴「ちぇすとー！」,全感情を今、電撃のように！
村野さやか,UR,Mirage Voyage,https://wikiwiki.jp/llll_wiki/%EF%BC%BBMirage%20Voyage%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,皆さーん…はぁ…まだまだ、終わりませんよぉ… 沢山の想いを…皆さんと共に…わたしたちは、幸せです…,,今日は皆さんとお買い物に行ったんです。瑠璃乃さんの提案で。せっかくだから全員で、というお話になったのですが。なんというか、こう、大変でした。楽しかったですよ！？でも、花帆さんと瑠璃乃さんの勢いに身を任せていたら、途中で気付いたんです…！あ、これ、わたしが止めなきゃ誰も止めないんだ…って。綴理先輩はこういう時むしろ勢いに乗る側ですし、なんだったらそのままあらぬ方向へさらわれて行ってしまう方ですし…！梢先輩は梢先輩で、止めたら負けみたいな空気出して笑ってるだけで！これ、ひょっとしてこれからの学校生活全部こうなんですかね！？はぁ……ふふっ、まあ、いっか。,さあ、疲れて眠ってばかりもいられません！たとえ未来が靄がかったままだとしても、微睡の中で揺蕩い続けているわけにはいきませんから。この伝統の曲、『Mirage Voyage』は綴理先輩がやりたいと推薦してくださった曲なんです。曲調を知り、歌詞を知り、なんとなく綴理先輩がやりたがる理由が分かりました。なのでわたしから、振り付けをわたしが決めていいかと聞いたんです。綴理先輩は、月が一度雲に見え隠れするくらいの時間黙った後、月より綺麗な顔で「お願い」と笑ってくれました。だから、たとえ先が見えなくとも、わたしたちなら大丈夫だと、そんな風に思えるライブに仕上げます！皆さんどうか、見ていて下さい！,では、出航です！,何度でも、何度だって…！,さやか「行きましょう！」花帆「連れてって！」,一歩一歩、着実に！
村野さやか,UR,SPLASH!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBSPLASH%21%21%21%21%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,自然体で融け合って、見えてくるもの。楽しいのもいいですけど、せっかくの合宿ですから、一応は経験になるものを先輩に求めてみたんですが…これ、体よく休まされてませんか…？,,綴理先輩曰くですが、季節によって自然は姿を変えるもの。スケートリンクが今こんな風になっているように、と。いや、スケートリンクはきちんと温度管理されてますし、海にはならないんですけどね。でも、仰りたいことは分かったんです。人間も自然の一部で、季節によって抱く気持ちも違う。だからこそ、スクールアイドルとしてみなさんにお披露目する姿も変えて然るべき。自然に融け合って得られるもの。それはきっと、今の世界と気持ちを共にすること。わたし自身が合宿を経て培った感性を届けられたらと思います。だ、だから、波間でサボっていた訳じゃないんです。本当です！,波に浮かびながら、イメージを合わせて、考えて。そうしていたら、遠くの方で楽しそうな声が聞こえてきたんです。案の定というか、花帆さんだったんですけど。でも、時折花帆さんから感じる眩しさと暖かさは、太陽によく似ていて。ご自身を花に例えることの多い花帆さんですけど、うーん、なんでしょうね。夏にぴったりな人だなと思ったんです。あんまり花帆さんと夏を強く結びつけるものがあるわけではないはずなので、もしかしたらこれも自然に感じただけのことなのかもしれません。でも、そういう自然に感じたことが大事なのかも、なんて。わたしにとっては、夏のイメージはそんな感じで。だから今回のライブは花帆さんを見習おうかな、なんて思ったんです。もちろん、花帆さんには内緒です。,合宿の成果を見せましょう！,波に合わせるように…,さやか「花帆さーん！行きますよー！」花帆「ひゃっ！やったなー！？」,な、夏のわたし、です！
村野さやか,UR,織姫草紙,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%B9%94%E5%A7%AB%E8%8D%89%E7%B4%99%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,よし！給水終わり。さあ、すぐ練習戻りますよ、時間は有限です。休憩と給水は別物ですよ、熱中症や脱水症状を防ぐためのものです。ほら、しゃがまないでください、変に疲れがきてしまいますから。え？この程度、スパルタでもなんでもありません。,,遠く遠く、星空の果てに貴方がいるのなら、いつかこの足で空の川を渡り切って、辿りつきとうございます。……ということで、今回は七夕にちなんだ衣装とセットになります。七夕の物語は、引き裂かれた2人が年に一度だけ逢瀬を重ねることができる、というところばかりにフォーカスされがちですけど、あれは2人が逢瀬にかまけて、仕事をしなくなったのを怒った帝が引き裂いたという話です。そう考えると、離れ離れの寂しさにわたしたちが得るべき教訓は、楽しいことばかりに気を取られず、自らの為すべきことを為そう、ということになりませんか？なりますよね？暑い最中ではありますが、日々の研鑽を怠らないようにしましょうね、花帆さん、瑠璃乃さん。,そういえばご存じですか。七夕といえば織姫と彦星。ふたりに対応する星は夏の大三角と呼ばれる、3つの星の一つであることを。わたし自身、天体にそこまで知識があるわけではないので…… ……夏の大三角と言われてぱっと思い出すのはやっぱり蓮ノ大三角なんですよね。綴理先輩と、梢先輩、慈先輩。3人がそう呼ばれるようになったのは、なんでも沙知先輩がそう広めたからだとか。七夕に星空を見上げて、ふと思ったんです。ひょっとしたら、一昨年の七夕の時期に夏の大三角を見上げて…… ……沙知先輩は、蓮ノ大三角の名前を思いついたんじゃないかって。3人が、空に一等輝く星になるように、と。機会があったら、その真相も聞いてみたいものですね。,さあ、星の川を渡りましょう。,星空に焦がれて。,さやか「祈りにお応えください。」瑠璃乃「はい、お任せを。」,皆の祈りに、応えましょう。
村野さやか,UR,アイドゥーミー！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%A4%E3%83%89%E3%82%A5%E3%83%BC%E3%83%9F%E3%83%BC%EF%BC%81%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B,フラワー！ 今日も一日、みんなで頑張ろうね！……なんて。誰かになろうとしても、なれない。そんなこと、わたしは分かっていたはずなんですけどね。最初からどこかで諦めていたのかもしれません。わたしには荷が重い状況なのだと。花帆さんならできることなんだと。そして、頑張れば花帆さんになれるだなんて、もっとおかしな話です。,,憧れるものが多い、それを切に感じる一月でした。花帆さんにせよ、卒業していった大三角にせよ、結局のところわたしは、誰かの背中を追う、真似る事にばかり目がいっていたんだと思います。そんなことをしても意味がないと、いつか綴理先輩に教えて貰ったにもかかわらず。きっと綴理先輩がいれば、こんな失敗はしなかったでしょう。でも、もういない。だから、空ばかり見るのはやめよう。『アイドゥーミー！』は、その思いを込めて作った曲です。結局、学年が上がったって人が変わるわけじゃない、今ここにいるわたし達で、できることをしよう。そうすればきっと……いえ、必ず。わたし達は求めていた場所にたどり着けるはずだから。わたし達は「蓮ノ三連華」。空に憧れることはあっても、わたし達はわたし達。わたし達なりの最高を目指して、前を向いて、残りの時間を駆け抜けていきます！,『アイドゥーミー！』の話をさせてください。三連華が中心になって作った曲です。……ただ、普段なら割と分担するんですよ。きっとその方がいい曲ができるはずだと、瑠璃乃さんが曲を、花帆さんが作詞を、そしてわたしが振り付けを……みたいに。でも今回は、わたしが歌詞の素案を作りました。そこに、瑠璃乃さんが思いを乗せてくれて、花帆さんが楽しさを沢山込めた曲を作りました。そこに、わたしが手を入れました。もっと力強くしたいと。瑠璃乃さんがみんなで進む気持ちを込めた振り付けを考えました。そこを花帆さんが手伝いました。もっと前に進む気持ちを押し出したいって。衣装はみんなで考えて、そうしてできたのがこの『アイドゥーミー！』です。まだ伝えきれてない、みんなで花咲くステージの形の一つ。まずはわたし達が前に向いたことを示すため、そういう曲です。どうか、お楽しみください！,わたしたちは、大地に咲く花。,花の想い、重ねて。,さやか「大地を踏みしめて、」瑠璃乃「空見上げて、」花帆「前に進もう！」,これが、わたしたちの決意と覚悟。
