メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
桂城泉,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,○○○○○○,○○○○○○,,,○○○○○○,○○○○○○,○○○○○○,○○○○○○
桂城泉,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,ハッピーバースデー、桂城泉。17歳になったよ。お祝いの言葉、どうもありがとう、みんな。いや、嬉しくない訳じゃないんだ。ただ、喜び方がうまく分からなくてね。どうしても、どこかわざとらしくなってしまうような気がして。こんな時は少しだけ、セラスやみんなが羨ましくなってしまうよ。彼女たちはきっと好意を受け入れるのも上手だから。……いや、そうじゃないな。私は私の精一杯をお返ししなくっちゃ、ね。本当に、ありがとう。あなたたちに祝われて、私は幸せ者だ。,これまでも、誕生日自体は祝ってもらう機会は多かったんだよ。私はどこに行ってもゲスト扱いだったからね。そういう人に対して、周りは優しくしてくれるものだろう？例えば去年なんか、ラブライブ！地方大会に挑んでいる大事な時期だというのにセラスがわざわざ私のためにケーキを買ってきてくれてね。ささやかなお祝いをしてくれたんだ。だけどこんな風に、気を許した仲間に盛大に祝ってもらう誕生日は本当に久しぶりだ。……ああ、そうか。私は喜び方が分からないんじゃない。この幸せを当たり前のように受け入れるのが少し怖いんだ。まったく、人には見透かしたようなことばかり言うくせに、自分の事は分からないんだから。仕方のない奴だろう？桂城泉って女は。それでも良ければ、これからもよろしく頼むよ。私はもう失いたくないんだ。この、暖かな今を。,,,17歳の私を待つのは、果たしてどんな運命かな？,今日の主役は私、か。……いいね、悪くない。,,ああ、一面のシュヴァリエグリーンだ。
桂城泉,UR,Retrofuture,https://wikiwiki.jp/llll_wiki/%EF%BC%BBRetrofuture%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,それでは新たなる契約を結ぼう。我がパートナー、セラス。今までたくさんの少女たちの夢を叶えてきたけれど。でも、私の夢を叶えるという夢を持った人はあなたが初めてだよ、セラス。せいぜい苦しみ、もがき、足掻いてほしいな。私に誓ったんだ。そう簡単には諦めないでくれよ。,,『Retrofuture』のことを少し語らせてもらえるかな。これは蓮ノ空にやってきた私とセラスの、新たなる始まりの曲だ。題名をつけたのはセラスだけどね。意味としては「かつて夢見た未来」とでも言うのかな。それはきっと、去年中学生だったセラスが私の隣に立ってスクールアイドルをする未来でもあり、そして私がかつて諦めた夢を叶えるための未来でもあるのだろう。とにかく、曲全体から響いてくるようじゃないか。諦めるなと、そのメッセージが。そんな歌をさっそく私に歌わせようとしてくるのだからね。大した人だよ、まったく。,私から見たセラス柳田リリエンフェルトという人物は、取るに足らない宝石だった。ああ、もちろん彼女の人柄は好ましいと思っている。一緒にいて退屈しない人だ。ただ、私にとっては皆同じように人生が交わるのは一瞬のこと。夢へと進み、そしてまたすぐに離れていく。そこに特別な感情を抱くことはない。今まで一度もね。……いや、一度も無かった、とそういうべきだろうか。セラスが私の夢を叶えるとそう宣言したあの瞬間から、私は彼女を特別な存在にせざるを得なかった。これから一年。残り11ヶ月。セラスが私の心に傷跡を残すか、あるいは力及ばず挫けてしまうのか。ふふっ、本当に楽しみだ。「必ず奇跡を成し遂げる」か。期待しているよ、セラス。,頑張っておくれ、私のナイト様。,かつて夢見た未来…か。,泉「やっぱり代わろうか、お姫様？」セラス「違うでしょ？お姫様は泉！」,Edel Note、ここに再臨。…なんてね。
桂城泉,UR,フュージョンクラスト,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3%E3%82%AF%E3%83%A9%E3%82%B9%E3%83%88%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,灰色の世界。私はここに、独り。私は、間違えたのだろうか。これは先輩を捨てた私への、罰なのだろうか。あの日以来私は、あらゆる色を失った世界で、今もまだ、浅ましく生きている。うまく眠れぬ日々が続き、まるで、悪夢の中に閉じ込められたかのようだ。ああ、私は……いつか、ここを出られる日が、来るのだろうか。,,さて、Edel Noteの新曲『フュージョンクラスト』だ。この曲についての思いは色々あるのだけど、まずはお礼を言わせてほしい。私の歌を聴いてくれてありがとう。これは私がありのままの心を歌った曲なんだ。披露した時もそうだったけれど、ああ、怖いな。皆にどう思われるか。嫌悪され、侮蔑されてしまうんじゃないかと、怖いよ。自分の心を素直に歌うというのは、こんなにも怖いことだったんだね。だけど、聴いてくれたみんなはあたたかな言葉をくれた。これからも応援していると、背中を押す言葉をくれた。いいものだね。スクールアイドルというのは。,例えば私が昔やっていた演劇は、それぞれの方向性は違えども、表現力や想像力、芝居の上手さというものが評価される世界だった。ラブライブ！に挑むスクールアイドルも、私にとっては同様の芸術性を競う種目だったんだ。それが、まさかこんな風に自分の心を叫び、そしてそれを大勢に認めてもらえるなんて。知らなかった。頭では分かっていたつもりだったのに、私はずっとスクールアイドルを本当の意味で理解していなかったんだ。100人いれば100通りのスクールアイドルがいて、願いも夢も全く違っていて。だからこそ、「Bloom Garden Party」のようなイベントが必要なんだろうな。空っぽの私がこれから何を掴めるのかは分からない。けれど、きっとできると信じたい。この蓮ノ空なら、きっと。,歌い、踊るよ。誰にも届かなくても。,空っぽを叫ぶんだ！,泉「あなたが私の光だよ、セラス。」セラス「またすぐ、そういうこと言う！」,忘れられない夏に、なりそうだ。
桂城泉,UR,シアター生き様,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B7%E3%82%A2%E3%82%BF%E3%83%BC%E7%94%9F%E3%81%8D%E6%A7%98%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,○○○○○○,,○○○○○○,○○○○○○,○○○○○○,○○○○○○,○○○○○○,○○○○○○
桂城泉,UR,令嬢モブ！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E4%BB%A4%E5%AC%A2%E3%83%A2%E3%83%96%EF%BC%81%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,必ず満足していただけると約束するよ、お姫様。トロッコ作りは大変だけれど、やりがいがあるよ。みんなで一緒にホームセンターに行ってね。蓮ノ空で培った舞台作りの経験が活きたかな。任されていた役割を全うするのはかつての私のようだけれど、今は少し違う。これは間違いなく私がやりたいことなのだから。それにしても、途中から随分おとなしくなって。緊張していたのかな、彼女。ふふっ、可愛らしいね。,,やあ。私は桂城泉……というのは世を忍ぶ仮の姿。その正体は世界を股にかけるサイバー窃盗団、シュヴァリエデビルさ。……ところでサイバー窃盗団っていうのはなんだろうね？怪盗とどう違うのかな。まあ、セラスなりのこだわりがあるんだろう。そうなんだ。今回の『令嬢モブ！』はノリノリのセラスが久しぶりに一人で歌詞を書いてきた曲だ。ユニークで熱い、セラスらしい曲じゃないか。その中で私へのオーダーはきわめてシンプルでね。「ただとにかくかっこよく」だそうだよ。せいぜいお気に召すように頑張るとしようじゃないか。,曲ができた後にね、少し意地悪な質問をセラスに投げかけてみたんだ。「セラス、あなたはもしかして颯爽と連れ去ってもらいたい願望があるのかな？」と。セラスのことだ。いつも通り恥ずかしがったり、素直じゃない受け答えをするのかと思っていたら、目を輝かせながら「そうだよ！」と言われてね。しかもそれだけじゃないらしい。世界を股にかけるサイバー窃盗団に魅了されてしまった宝石……そんなお姫様が初めて知った危険な世界に自らの意志で飛び込んでいく、という物語がセラスの琴線に触れるものらしい。なるほど。言われてみればたしかにセラスは最初から、ただ連れ去られるだけのお姫様ではなかったね。セラスは言ってたよ。「私は危険な女だから、ね！」と。この上ないドヤ顔で。まあ、うん。その思い込みの強さはたしかに多少危険かもしれないね。,それでは、あなたのハートを頂戴しよう。,まったく、いけない子猫ちゃんだ。,○○○○○○,君のストーリーはハッキング完了だ。
桂城泉,UR,Dream Believers,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDream%20Believers%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,綺麗な桜だ。魅入られてしまうようだね。叶える夢を求めてさまよう私が、夢のイルミネーション、蓮ノ空女学院に流れ着いたのは必然だったのかもしれない。ここでなら、あるいは私は……。いや、これ以上はやめておこうか。今はただ、青春に浮かぶ泡沫の夢を見ようじゃないか。さあ、新たなる日々の始まりだ。,,『Dream Believers』、夢をまっすぐに追いかける、スクールアイドルクラブの代表曲と言っても過言ではないだろう。それを……いやはや、まさか私が一緒に歌う日が来るとはね。この衣装も見ておくれ。まるで今にも空を飛べそうなほどの軽やかさじゃないか。似合っている、かい？ふふふふっ、私自身は鏡の自分に違和感しかなかったのだけれど、そう言ってもらえることは嬉しいね。ありがとう。この衣装に相応しい私になれるよう、これからも努力するよ。,夢を追いかける。その姿は美しく、高貴なものだ。たとえどんな欲望にまみれた夢であっても、私にとってはね、輝いて見えるのさ。蓮ノ空の生徒たちは皆、何かを目指し、ひたむきに手を伸ばしている。全ての景色がまるで色づいているかのように。私にはそれが羨ましい。この胸に燃え残った灰のような喜びも、悲しみも、今は全てを抱えて歌うよ。Dream Believers You believe. なんて力強く、そして熱い歌詞なんだろうか。少女達の夢が共鳴し、響き合った結果生み出された願いの形がスクールアイドルだというのなら。私もきっと、いつか。そう希うのは構わない、だろう？,泡沫の夢を、今は、一緒に。,いつかきっと、私も。,○○○○○○,精一杯を歌うよ。
桂城泉,UR,天地黎明,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%A9%E5%9C%B0%E9%BB%8E%E6%98%8E%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,夏か。夢を追う少女たちが、ひときわ高く飛ぶ季節がやってきたね。蓮ノ空では期末試験の時期だ。瑞河に比べると比較的カリキュラムが進んでいたから最初は苦労したけれど、吟子さんや姫芽ちゃんのノートを見せてもらい、どうにかこうにか挽回ができたよ。もちろん小鈴さんにもね。彼女のノートはカラフルで賑やかだったな。さあ、中間テストは10番以内に入れたから、今度は5番以内でも狙ってみようかな？,,『天地黎明』は世界の崩壊と再生を、新たなる夢の旅立ちになぞらえた曲だ。重苦しく荘厳なイントロと転調からの駆け抜けるようなメロディは、まるで生まれ変わりを暗示しているようじゃないか。幼少期からクラシックに触れて育ったセラスは、曲作りの幅も非常に広い。見事なものだよ。なにせ中学1年生から数えて、瑞河時代に3年間でセラスが作った曲の総数は100を超えるのだからね。……ん？それは少し盛りすぎだって？ふふっ、さて、それはどうかな？,この衣装についても少し話しておこう。これはそれぞれ、光と闇の神をモチーフに作った衣装だ。歌詞に出てくるティルナノーグの出典はケルト神話だが、衣装は日本神話をイメージしている。セラスがどうしても着てみたいと言ったのでね。ちょうど良かったよ。部には特に和装に詳しい人がいるだろう？そう、百生吟子女史だ。というわけで、私たちは二人そろって百生先生の手ほどきを受けることになった。おかげで良いものが出来上がった。吟子さんにはぜひお礼をと思ったのだけれど、部員の衣装作りを手伝うのは好きだから気にしないで、と言われてしまった。奥ゆかしい人だね、彼女は。そういうところも好ましい。どこか共通点があると思わないかい？セラスと吟子さんには。そうだね、しいて言うなら二人とも情熱的で、好きな物に夢中になっている時は視野が狭くなる。おっと、これは誉め言葉ではなさそうかな？ふふっ。,約束の地を目指し、ただ真っ直ぐに！,我が旗の下に、集え！,○○○○○○,この魂を果て無く、永遠に！
桂城泉,UR,片翼のトリバガ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%89%87%E7%BF%BC%E3%81%AE%E3%83%88%E3%83%AA%E3%83%90%E3%82%AC%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,じゃんけん、ぽん。おっと、私の負けか。手芸屋の帰り道、急にセラスが言い出したんだ。負けた方は次の電柱まで鞄を持ってね、と。なんでもじゃんけんの必勝法を編み出したらしいが…まあ、セラスが楽しそうだからいいか。ああ、気付いたかい？そう、先月からね、鞄にお揃いのチャームを付けるようになったんだ。ふふっ、セラスと一緒に買いに行ってね。みんなには内緒だよ？,,一枚しか翼を持たぬ天使と悪魔。どちらも一人では飛ぶこともままならない。Edel Noteの新曲『片翼のトリバガ』は聴いてもらえたかな。ふふっ、ありがとう。ちょっと変わっているだろう？今回のモチーフはセラスが悪魔で、私が天使なんだ。前からずっとセラスに悪魔呼ばわりされていた私が、純白の衣装を身に纏うことになるとはね。まったく、セラスは何を考えているのやら。しかし思えば、本当はセラスこそが私にとって運命を変える悪魔だったのかもしれないね。だってほら、悪魔は天使の欲望を見出し、たぶらかすものだろう？,この曲はセラスがメインで作った曲だ。作詞に作曲、衣装の案も彼女が出したんだ。繊細な曲に聴こえるだろうけど、私は「おお、いつもとは変わったことがしたかったんだな」と解釈したよ。セラスの曲作りは面白くてね、いつも急に閃くんだ。まるで天使に囁かれたように、音楽のイメージが降りてくるらしいよ。とはいえ、まったくのゼロから生み出されるわけじゃない。勝手に言語化をさせてもらえば、普段の生活で感じたその思いが溢れ出た時に、インスピレーションが音楽という形を取るのだろう。セラスにはセラスの曲しか作れないからね。その結果が、互いを支え合う比翼連理の天使と悪魔さ。もっとも彼女はどんな姿を取っていようが、私にとって光であることは変わりないのだけどね。……ふふっ、それでは、また。,迷える子羊よ、私が導いてあげよう。,この体は……不完全だ。,泉「悪魔よ、今だけはこの身を委ねても？」セラス「連れてってあげる、天使ちゃん。」,それでも二人なら、飛べるんだ！
桂城泉,UR,蒼のツバメ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%92%BC%E3%81%AE%E3%83%84%E3%83%90%E3%83%A1%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89,綺麗だね、セラス。この日はスクールアイドルクラブのみんなで北國花火金沢大会に遊びに来たんだよ。夜空を彩る満天の花火。それはそれは見事なものだった。と言っても、もしかしたらセラスを見ていた時間の方が長かったかもしれないけど。ああ、おかしな意味じゃないよ。彼女がずっと花火に見とれているから、はぐれてしまわないように気を付けていただけさ。ふふっ。,,やあ。今日は珍しい場所での撮影だ。どうだい、私と飛行機の組み合わせは？なかなか似合うと思わないかな？軽やかで力強く、まるで誰にも縛られることはない。そんなイメージさ。とはいえ、それも蓮ノ空に入るまでのこと。今の私はすっかり操縦桿を握られてしまっているからね。向かう先、針路はパイロットの望むまま、思いのままさ。果たしてどこに連れて行ってもらえるやら。まったく、楽しみで仕方ないよ。ああ、いい風だね。蓮ノ空に来てからもう4ヶ月。そろそろ次の目的地が見えてくる頃かな。,去年の7月。私とセラスはスクールアイドルのコンテストに挑戦していた。夏休みに入った時期は全国各地でイベントが開かれていたからね。それこそ、日本中を回ったよ。とある地方でのコンテストの帰り道、どこからか祭囃子が聞こえてきた。商店街で大きなお祭りが開かれてたんだ。家族連れや友達同士が笑いながら、お祭りを楽しんでいた。セラスは立ち止まり、その光景を見つめていてね。私が「寄っていくかい？」と聞いても、彼女は気持ちを押し殺すように、「そんな暇は無いから」とだけ言って早足で歩いていった。よく覚えているよ。あの時思ったんだ。この女の子は本当に、私に全てを捧げようとしているんだなと。あれから1年経って私は、花火を見上げるあなたの表情がこんなにも煌めいていることを初めて知った。そうか、あなたはもう『お姫様』ではなく、普通の女の子になったんだね、セラス。,ぱっと輝き、散っていく。見事なステージだ。,どこにいたって、飛んでいくよ。,,どうだい、一緒に大空をデートしよう。
