メンバー,レアリティ,カード名,リンク,入手時,特訓時,特訓1回目,特訓2回目,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
百生吟子,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,あ、おはようございます、先輩。はい、吟子です。その……先輩の、妹弟子の吟子、です。えと……すみません、まだ慣れてなくて。どれぐらい礼儀をわきまえた方がいいのか、とか……、……え？「普段通りでいい」、ですか……？し、しかし……、一応先輩は、同じ灯から作られたとはいえ、私の先輩で……、もうお一人でも立派に人間界へのご奉仕を全うされている方で……。……わかりました。それじゃあ……、先輩、今日はこれからどうする？ひとまず、私のお仕事の報告聞く？うん、わかった。ふふっ、ちょっと緊張しちゃうね。でも私、頑張ったから！その……、もし気が向いたら、褒めてくれてもいいからね、先輩。,,うん。それじゃあ、ご報告するね。装いを司る天使である私は、あらゆる人々が凍えず暮らせるよう、また、その目に彩を楽しめるよう力を尽くしてました。初めて先輩が私に任せてくれたお仕事だから、もちろん頑張ったよ。それで、あの……、花帆姉さんから聞いたんだけど……頑張った天使は、ご褒美が貰えるって……。……あ、えと、ううん。先輩が気分じゃ無かったら全然。別にそういうのが欲しいからやってたわけじゃないし、私は純粋に、お仕事は頑張るべきだから頑張っただけで……。……え？私、偉い……？「新米なのによく頑張ってる」……？……そうかなぁ……？えへへ。……え、と、ちょっと、もういいから！褒めすぎだよ先輩、さすがに。そんなに褒められたら、褒められたから頑張る天使みたいになっちゃうじゃん……。まったくもう。先輩も、もうちょっと先輩に慣れたほうがいいよ。……なんて、ふふっ。ありがとう、先輩。私、先輩の傍らで幸せだよ。,,先輩、ここが頑張り時だよ。,私たちの力、見せてあげる。,○○○○○○,もっと褒めてもらうために。……って、違いますけど。
百生吟子,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,○○○○○○,○○○○○○,,,"私は""ARCHITECTURE""。船の快適さにだけは、自信があります。",あなたは私に、笑顔を教えてくれた……,○○○○○○,私の歌が聴きたい、ですか……。物好きですね、もう……
百生吟子,BR,16th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB16th%20Birthday%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,お祝い、あんやとうね。蓮ノ空女学院104期生、百生吟子です。本日は私の誕生日を祝っていただき、誠にありがとうございます。……え？こういう場だから、いつものパターンでドキドキしてたり、ギクシャクしてるって思ってました？私、親戚や近所の人にもよく祝ってもらってたので、お誕生日会はそれなりに慣れてるんですよ！いつもみたいにはいきませんからね。ふふっ、残念でした！,本当は、歳をとるのってあんまり好きじゃなかったんです。ばあばやじいじはみんな、嬉しそうにしてくれるんですけど、でも、私がみんなの誕生日をお祝いしようとすると、あんまり喜んでくれないじゃないですか。昔はそれが、よくわからなくて。私は早く大人になりたかったので、誕生日を喜ぶのって大人っぽくないのかもって、なんか悩んじゃって。だけど、今はもう、気にしないことにしました。別に喜んでほしいわけじゃなくて、私が好きだからお祝いすればいいんだって、気づいたんです。だから私は、素直に気持ちを伝えようって。これも、スクールアイドルのステージを経験したおかげですね。皆さんも、私のことが好きだからお祝いしてくれてるんですよね。とても嬉しいです。……あ、えっと……すみません。今のはちょっと、恥ずかしかったかも、です。うぅ……あんやと。私も、みんなのこと、好き、やよ。,,,百生吟子、16歳になりました。,ツンとかデレとか、無いし……,,これからも私を……見とってくれんけ？
百生吟子,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,○○○○○○,○○○○○○,,,○○○○○○,○○○○○○,,○○○○○○
百生吟子,UR,Reflection in the mirror,https://wikiwiki.jp/llll_wiki/%EF%BC%BBReflection%20in%20the%20mirror%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,あの…見てもいいとは確かに言いましたが…。刺繍糸は摩擦に弱いのでこうやって縒って必要な太さの糸を作るんです。はい、楽しいですよ。図案のデザインを思い浮かべてどんな糸を作ろうかなって考えるのは。ええっと、お二人もやってみます？,,『Reflection in the mirror』、芸楽部時代に生まれたこの歌はかつて『逆さまの歌』と呼ばれてました。私のおばあちゃんが好きでよく口ずさんでいた曲なんです。それから時が経ちこうして今、私もおばあちゃんと同じようにステージにあがって歌うことが出来て…凄く嬉しかったです。…本当に嬉しかったんです！この気持ち、ちゃんと届くまで何度でも歌いますから！私！,原曲の『逆さまの歌』は今とは歌詞も随分と違ってて、なんていうか自分のことを励ますような歌だったんです。でも『Reflection in the mirror』は大切な人と一緒なら自分を信じられるって歌に変わってて。これはただの想像なんだけど、初めてこの歌を改変した人はすごく大事な誰かを精一杯勇気づけたかったのかなって思いました。そんな誰かのために伝統の曲の歌詞まで変えちゃうなんて身勝手ですよね、スクールアイドルって。どうせきっと花帆先輩みたいな人だったんですよ。ふふっ。,聴いて下さい　私の歌を！,一緒に、叶えたい。,吟子「……っ、信じてる、から。」花帆「えへへっ、任せて！」,私の答えは、見つかったよ。
百生吟子,UR,Celebration!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBCelebration%21%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,梢先輩のカップには、サイフォン式が似合うかなと思いまして。てっきり花帆先輩は、「梢センパイのティーカップはあたしのだから！」と言って独り占めするのかと思いましたけど、意外とあっさりお許しをいただけました。なんでしょうね、花帆先輩も日々大人になってるんですね。……まだブラックは飲めないみたいですけど。ふふっ。,,さくらんぼ色の花束を、あなたに。私と花帆先輩の新しいスリーズブーケの曲、『Celebration!』はもう聴いてもらえましたでしょうか。この曲は、ええと、こういうことを言うのもアレですけど、作るのに、苦労しました。かなり。昨年度に卒業した先輩が、とても曲作りが上手な方だったので……。さやか先輩、瑠璃乃先輩を始めとして、部のアドバイスをもらい、何とか完成までこぎつけました。ただ、大変は大変でしたけど、私の好きなレトロな曲調を盛り込んでみたり、今に合わせるためにはどうアレンジすればいいか試行錯誤してみたり。大変なのも楽しいなって思いました。これからも頑張ります！,少なくとも今年1年は花帆先輩と二人でやっていくことになりましたので、そのために出来ることをしていこうとは思ってるんですが……。『Celebration!』、なんだか、思ったよりも可愛い曲になってしまいましたよね。掛け合いとか、コールとかもあったりして。そりゃあそうですよね。私と花帆先輩の趣味を足して2で割ったら、どうしても去年よりは多少花帆先輩寄りになってしまうというか……はい。そういえば、昨年度に、『Chu! Chocolate』という曲を書いたんですが……あれはもともと、私と花帆先輩が『ユメワズライ』のたたき台として作っていた曲なんです。「お蔵入りにするのはもったいないから」と言われて完成させたら、結果、全然違う曲になってしまいましたけど……ちょっと雰囲気、似てますよね。今年はどうやら、こういう方向性になりそうです。まあ別に、嫌とかではないんですけど、私は。皆様がその、お見苦しくなければ……。,今年も一緒に、ドキドキしましょうね。,受け取ってください！,○○○○○○,全部叶えちゃうから、ね。
百生吟子,UR,"Bloom the smile, Bloom the dream!",https://wikiwiki.jp/llll_wiki/%EF%BC%BBBloom%20the%20smile%2C%20Bloom%20the%20dream%21%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,はい、雨です。石川は降水率1位の県ですから、年の3割近く雨が降っているんですよ。ですから、別に...なんだか落ち着きますし...あっ、そういえば梢先輩って雨みたいなイメージ、ありませんか？...物静かで、しとやかで、私も好きかもしれません、雨の音。ふふっ。,,Bloom the dream、スクールアイドルクラブの2年生方が作った新しい蓮ノ空の曲です。すごいですね、目の前がぱっと開けていくような華やかなメロディに、メンバーみなさんの歌声が調和して、とても素敵な曲だと思います。私も、いくつかソロのパートをもらいました。9人全員で歌い継ぐところもあって、すごく緊張しました。まぁ、緊張するのはユニットの曲でも変わりませんけど...だって梢先輩はすごく綺麗で、歌が上手ですし...花帆先輩も...あの人、ステージの上でもいつも、私の方ちらちら見てますし...そんな、緊張するわいね...！,それにしても、すごいですよね。二年生の先輩方、ほんとに曲を作れるなんて...すごいと思います。瑠璃乃先輩って、花帆先輩とはまた少し違う意味ですごくスクールアイドルっぽいですよね。あんまり先輩のことをこういうのは、よくないかもですけど...なんというか...小さくてかわいいな、って...。あ、それだけじゃなくて。曲作りの間も、今やってることにどんな意味があるのかとか、すごく説明してくれて...それに「充電切れ」っていうんですよね。誰とも話したくなくなる気持ち、とてもよくわかります...。私も、小鈴さんや花帆先輩と話してると、たまにぼっちハウスに入りたくなりますし...。え？私が瑠璃乃先輩に詳しい、ですか？...あぁ、実は、姫芽さんが四六時中みらくらぱーく！の話をしてくれるので、勝手に親近感を覚えちゃってるだけかもです。私が...。,花咲くって、どんな気持ちなんかな。,すごく、真っ直ぐな歌詞……。,吟子「小鈴さん、歌上手いね。」小鈴「えっ！？嬉しいな！」,大切、私も見つけたいから。
百生吟子,UR,アオクハルカ/華,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%AA%E3%82%AF%E3%83%8F%E3%83%AB%E3%82%AB%EF%BC%8F%E8%8F%AF%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,前へ進め、もっと先へ。本当は博物館に寄贈した方が良かったのかもしれません。誰かにとっての思い出をこんな風にバラバラにしてしまうよりは。それでも...一緒に、連れて行ってあげたかったんです。一緒に未来へと。,,ふぅ...ようやく終わりましたね。今は喜びというよりは、安堵の方が強いかもしれません。ようやく乗り切ったぞ、みたいな。なんだか、7月はずっと衣装作りをしていたような気がします。毎日小鈴と姫芽から、今日は何をした、どこに行ったってメッセージが送られてきたので、むしろ例年より賑やかに過ごしてた気分ですけど。ライブも無事終わったので、今度104期生3人で打ち上げに行くそうです。勝手に私の予定が押さえられていました。いいんですけどね。ふふっ。,梢先輩が『Reflection in the mirror』を4月に編曲したとき、私は、なんて勇気がある人なんだろう、って思ったんです。憧れると同時に... ...少し、怖くなりました。だって、それは、誰かの気持ちを否定しちゃうことになるんじゃないか、って。でも、だとしても...。受け継いだものをなにも考えずただ伝えていくことは、たぶん、伝統を大切にすることとは違って...。そこには、私がいないから...。たとえうまくいかなくても、何度でも悩んで、自分たちの色を乗せて、未来へ届けようって。その気持ちを持ち続けることが、きっと、伝統を受け継いでいくってことなんだと、わかった気がします。今回はおばあちゃんと梢先輩に、大事なことを教えてもらいました。私、蓮ノ空に入学して... ...本当に、よかった。,スクールアイドル百生吟子、歌います！,前を向いて、一歩ずつ。,吟子「小鈴、似合ってる。」小鈴「吟子ちゃんが作ってくれたんだもん！」,9人の為の、衣装です！
百生吟子,UR,PASSION!!!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPASSION%21%21%21%21%21%21%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,ま、待って！そんな急がなくても...。本日は夏合宿の合間、海に遊びに来ています。金沢の海では、たまに散歩したりもするんですけど、こうしてみんなで来ると...。なんだか、今まで知らなかった場所のように感じます。花帆先輩はどうせはしゃぐだろうなって思ってましたけど、うきうきの梢先輩は、その...予想外でした。,,プールに浮かぶ、百生吟子です。撮影会ということで、私も着飾らせてもらいました。どう、でしょうか。授業以外での水着は、あまり着たことがなかったので、なんだかちょっと違和感があります。こういう華やかな格好をさせてもらう機会は増えたものの、相変わらず鏡を見ても全然しっくりこなくて。ただ、姫芽や小鈴が、たくさん「似合ってる」と言ってくれたので、最近は自分の目より2人の言葉を聞いた方がいいんだろうな、と思うようになりました。...そんなんだから、たまに騙されるんですけど...。,水着って、何がいいんでしょうか？...あっいえ、その、ネガティブな意味ではなくてですね。でも、確かに言われてみれば、梢先輩も花帆先輩も、普段とは違う開放的な魅力が出てたように感じます。なんというか...元気で、かわいい、ですよね。しかし、そう考えると...。果たして私は、この衣装の魅力を引き出すことができてるのでしょうか...。なんだか急に申し訳なくなってきました。...よし、今からでも私、真剣に水着に向き合います。水着と私がひとつになって、このステージを輝かせて見せますから。皆さんも、コメントでポーズのリクエストなど、もしあればお願いします。恥ずかしいは、恥ずかしいですけど...。でも、この水着をデザインしてくれた方の気持ちも大切にしたいので。,金沢の夏、楽しんでくださいね。,お水、涼しいね,吟子「あはは、待って～ ...って何これ...」姫芽「そういうお約束だよ～」,見ててください、水着職人さん...！
百生吟子,UR,フルーツパンチ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%83%91%E3%83%B3%E3%83%81%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90,これで、完成……ですね、さやか先輩！本日は、尊敬する先輩といっしょに、昼食作りをしてました。出来上がったものは、クラブの皆さんに振る舞う予定です。さやか先輩との共同作業は、何と言うか、何事も安心感があって。前に、梢先輩が「蓮ノ休日」というユニットを組んでましたが、そんな雰囲気を味わえて、嬉しいです。,,「恋は恋は恋は、つまりどんなフレーバー♪」えへ、夏ですね。百生吟子です。本日は花帆先輩と二人で、近くのプールへデートに来ています。あぁ……いえ、あの、事情があるんです、深刻かつ避けがたい事情が……。新曲の『フルーツパンチ』は聞いていただけましたか？ はい、今回もまた、とても可愛らしい曲になって。それはすごく喜ばしいことなんですが……、新曲を歌う際にはやっぱり、気持ちを作って臨みたいじゃないですか。でも、私は相変わらず、恋というものがよくわからなくて。それで花帆先輩に相談してみたら、言ってくださったんです。「だったら吟子ちゃん、あたしとデートしよ？」って。……あ、あの、すみません！ 続きはまた、今度！,皆さんは、今年の夏はどこかにお出かけするんですか？ うふっ、いいですね。一度きりの夏、いっぱい楽しみましょうね。 あ……え、デートの話、ですか？ それはもういいんじゃないですか？ ……えっと、つまり、その、花帆先輩が恋を教えてくれると言うので、一緒にお出かけしたんですが……、結局、よくわかりませんでした、というだけのお話です。ただ、このお話にはまだ続きがあって、私がうっかり部室でしゃべったら、姫芽や小鈴にも、「デートしよう」とお誘いをされて。しかも、だけじゃないんですよ。泉さんにセラスさん、果てには瑠璃乃先輩とさやか先輩まで！ みんな面白がってるだけだと音いいます。私は真剣に悩んでいるのに……。というわけで、先日はさやか先輩と一緒に、昼食を作るデートをやってきた、という顛末です。……私の夏休み、しばらくは忙しそうです。まったくもう。,恋に憧れる女の子の気持ちになって、歌います！,私にも、甘えん坊させて……って！,○○○○○○,でも、未体験の感動はきっと、毎日もらってますから！
