メンバー,レアリティ,カード名,リンク
安養寺姫芽,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,BR,16th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB16th%20Birthday%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,アイデンティティ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,Her-bath-rium,https://wikiwiki.jp/llll_wiki/%EF%BC%BBHer-bath-rium%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,WAWO!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBWAWO%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,PASSION!!!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPASSION%21%21%21%21%21%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,BLAST!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBBLAST%21%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,Very! Very! COCO夏っ,https://wikiwiki.jp/llll_wiki/%EF%BC%BBVery%21%20Very%21%20COCO%E5%A4%8F%E3%81%A3%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,Link to the FUTURE,https://wikiwiki.jp/llll_wiki/%EF%BC%BBLink%20to%20the%20FUTURE%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,ニャオシグニャル,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8B%E3%83%A3%E3%82%AA%E3%82%B7%E3%82%B0%E3%83%8B%E3%83%A3%E3%83%AB%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,全方位キュン♡,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%85%A8%E6%96%B9%E4%BD%8D%E3%82%AD%E3%83%A5%E3%83%B3%E2%99%A1%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,"Hip, hip, hooray!",https://wikiwiki.jp/llll_wiki/%EF%BC%BBHip%2C%20hip%2C%20hooray%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,邂逅の舞踏会,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E9%82%82%E9%80%85%E3%81%AE%E8%88%9E%E8%B8%8F%E4%BC%9A%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,104/⊿TRiEDGE,https://wikiwiki.jp/llll_wiki/%EF%BC%BB104%EF%BC%8F%E2%8A%BFTRiEDGE%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,Dream Believers,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDream%20Believers%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,青嵐の鯉流し,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E9%9D%92%E5%B5%90%E3%81%AE%E9%AF%89%E6%B5%81%E3%81%97%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,みらくりえーしょん,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%BF%E3%82%89%E3%81%8F%E3%82%8A%E3%81%88%E3%83%BC%E3%81%97%E3%82%87%E3%82%93%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,ファンファーレ！！！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%82%A1%E3%83%B3%E3%83%95%E3%82%A1%E3%83%BC%E3%83%AC%EF%BC%81%EF%BC%81%EF%BC%81%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,蓮ノ空歌留多,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%93%AE%E3%83%8E%E7%A9%BA%E6%AD%8C%E7%95%99%E5%A4%9A%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,バイタルサイン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%90%E3%82%A4%E3%82%BF%E3%83%AB%E3%82%B5%E3%82%A4%E3%83%B3%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,みらくりえーしょん/雅,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%BF%E3%82%89%E3%81%8F%E3%82%8A%E3%81%88%E3%83%BC%E3%81%97%E3%82%87%E3%82%93%EF%BC%8F%E9%9B%85%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,UR,はじまりの羽音,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%AF%E3%81%98%E3%81%BE%E3%82%8A%E3%81%AE%E7%BE%BD%E9%9F%B3%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,SR,"Bloom the smile, Bloom the dream!",https://wikiwiki.jp/llll_wiki/%EF%BC%BBBloom%20the%20smile%2C%20Bloom%20the%20dream%21%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,SR,蒼のツバメ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%92%BC%E3%81%AE%E3%83%84%E3%83%90%E3%83%A1%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,SR,Poupée en Lotus,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPoup%C3%A9e%20en%20Lotus%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,SR,ジョーショーキリュー,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%BC%E3%82%AD%E3%83%AA%E3%83%A5%E3%83%BC%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,SR,AURORA FLOWER,https://wikiwiki.jp/llll_wiki/%EF%BC%BBAURORA%20FLOWER%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,R,レインボーシフォン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%83%BC%E3%82%B7%E3%83%95%E3%82%A9%E3%83%B3%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,R,室咲格子,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%AE%A4%E5%92%B2%E6%A0%BC%E5%AD%90%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,R,ノヴァホワイト,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8E%E3%83%B4%E3%82%A1%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
安養寺姫芽,R,翠鱗舞,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%BF%A0%E9%B1%97%E8%88%9E%EF%BC%BD%E5%AE%89%E9%A4%8A%E5%AF%BA%E5%A7%AB%E8%8A%BD
