メンバー,レアリティ,カード名,リンク
村野さやか,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,UR,スケイプゴート,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B9%E3%82%B1%E3%82%A4%E3%83%97%E3%82%B4%E3%83%BC%E3%83%88%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,UR,アンペア,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%83%B3%E3%83%9A%E3%82%A2%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,UR,Mirage Voyage,https://wikiwiki.jp/llll_wiki/%EF%BC%BBMirage%20Voyage%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,UR,SPLASH!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBSPLASH%21%21%21%21%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,UR,織姫草紙,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%B9%94%E5%A7%AB%E8%8D%89%E7%B4%99%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
村野さやか,UR,アイドゥーミー！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%A4%E3%83%89%E3%82%A5%E3%83%BC%E3%83%9F%E3%83%BC%EF%BC%81%EF%BC%BD%E6%9D%91%E9%87%8E%E3%81%95%E3%82%84%E3%81%8B
