メンバー,レアリティ,カード名,リンク
桂城泉,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,Retrofuture,https://wikiwiki.jp/llll_wiki/%EF%BC%BBRetrofuture%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,フュージョンクラスト,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3%E3%82%AF%E3%83%A9%E3%82%B9%E3%83%88%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,シアター生き様,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B7%E3%82%A2%E3%82%BF%E3%83%BC%E7%94%9F%E3%81%8D%E6%A7%98%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,令嬢モブ！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E4%BB%A4%E5%AC%A2%E3%83%A2%E3%83%96%EF%BC%81%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,Dream Believers,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDream%20Believers%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,天地黎明,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%A9%E5%9C%B0%E9%BB%8E%E6%98%8E%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,片翼のトリバガ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%89%87%E7%BF%BC%E3%81%AE%E3%83%88%E3%83%AA%E3%83%90%E3%82%AC%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,UR,蒼のツバメ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%92%BC%E3%81%AE%E3%83%84%E3%83%90%E3%83%A1%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,SR,十六夜セレーネ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%8D%81%E5%85%AD%E5%A4%9C%E3%82%BB%E3%83%AC%E3%83%BC%E3%83%8D%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,SR,四蓮琴之龍,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%9B%9B%E8%93%AE%E7%90%B4%E4%B9%8B%E9%BE%8D%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,SR,Her-bath-rium,https://wikiwiki.jp/llll_wiki/%EF%BC%BBHer-bath-rium%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,R,ノヴァホワイト,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8E%E3%83%B4%E3%82%A1%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
桂城泉,R,翠鱗舞,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%BF%A0%E9%B1%97%E8%88%9E%EF%BC%BD%E6%A1%82%E5%9F%8E%E6%B3%89
