メンバー,レアリティ,カード名,リンク
百生吟子,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,DR,Oracle Étude,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOracle%20%C3%89tude%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,BR,16th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB16th%20Birthday%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,BR,17th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB17th%20Birthday%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,Reflection in the mirror,https://wikiwiki.jp/llll_wiki/%EF%BC%BBReflection%20in%20the%20mirror%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,Celebration!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBCelebration%21%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,"Bloom the smile, Bloom the dream!",https://wikiwiki.jp/llll_wiki/%EF%BC%BBBloom%20the%20smile%2C%20Bloom%20the%20dream%21%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,アオクハルカ/華,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%AA%E3%82%AF%E3%83%8F%E3%83%AB%E3%82%AB%EF%BC%8F%E8%8F%AF%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,PASSION!!!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPASSION%21%21%21%21%21%21%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,フルーツパンチ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%83%91%E3%83%B3%E3%83%81%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,可惜夜花火,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%8F%AF%E6%83%9C%E5%A4%9C%E8%8A%B1%E7%81%AB%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,ハナムスビ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8F%E3%83%8A%E3%83%A0%E3%82%B9%E3%83%93%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,一生に夢が咲くように,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E4%B8%80%E7%94%9F%E3%81%AB%E5%A4%A2%E3%81%8C%E5%92%B2%E3%81%8F%E3%82%88%E3%81%86%E3%81%AB%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,乙女詞華集,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E4%B9%99%E5%A5%B3%E8%A9%9E%E8%8F%AF%E9%9B%86%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,AURORA FLOWER,https://wikiwiki.jp/llll_wiki/%EF%BC%BBAURORA%20FLOWER%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,輝跡の舞踏会,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%BC%9D%E8%B7%A1%E3%81%AE%E8%88%9E%E8%B8%8F%E4%BC%9A%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,Dream Believers,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDream%20Believers%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,青嵐の鯉流し,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E9%9D%92%E5%B5%90%E3%81%AE%E9%AF%89%E6%B5%81%E3%81%97%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,月夜見海月,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%9C%88%E5%A4%9C%E8%A6%8B%E6%B5%B7%E6%9C%88%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
百生吟子,UR,蓮ノ空歌留多,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%93%AE%E3%83%8E%E7%A9%BA%E6%AD%8C%E7%95%99%E5%A4%9A%EF%BC%BD%E7%99%BE%E7%94%9F%E5%90%9F%E5%AD%90
