メンバー,レアリティ,カード名,リンク
藤島慈,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,LR,やっぱ天使！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%84%E3%81%A3%E3%81%B1%E5%A4%A9%E4%BD%BF%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,LR,On your mark/102,https://wikiwiki.jp/llll_wiki/%EF%BC%BBOn%20your%20mark%EF%BC%8F102%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,BR,18th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB18th%20Birthday%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,365 Days,https://wikiwiki.jp/llll_wiki/%EF%BC%BB365%20Days%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,夏めきペイン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%8F%E3%82%81%E3%81%8D%E3%83%9A%E3%82%A4%E3%83%B3%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,PASSION!!!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPASSION%21%21%21%21%21%21%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,アイデンティティ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,喫茶ハスノソラ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%96%AB%E8%8C%B6%E3%83%8F%E3%82%B9%E3%83%8E%E3%82%BD%E3%83%A9%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,DEEPNESS,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDEEPNESS%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,ジョーショーキリュー,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%BC%E3%82%AD%E3%83%AA%E3%83%A5%E3%83%BC%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,冬のおくりもの,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%86%AC%E3%81%AE%E3%81%8A%E3%81%8F%E3%82%8A%E3%82%82%E3%81%AE%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,Secret Christmas,https://wikiwiki.jp/llll_wiki/%EF%BC%BBSecret%20Christmas%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,ハッピー至上主義！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8F%E3%83%83%E3%83%94%E3%83%BC%E8%87%B3%E4%B8%8A%E4%B8%BB%E7%BE%A9%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,KEY of Like！,https://wikiwiki.jp/llll_wiki/%EF%BC%BBKEY%20of%20Like%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,全方位キュン♡,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%85%A8%E6%96%B9%E4%BD%8D%E3%82%AD%E3%83%A5%E3%83%B3%E2%99%A1%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,抱きしめる花びら,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%8A%B1%E3%81%8D%E3%81%97%E3%82%81%E3%82%8B%E8%8A%B1%E3%81%B3%E3%82%89%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,いつでも、いつまでも,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%84%E3%81%A4%E3%81%A7%E3%82%82%E3%80%81%E3%81%84%E3%81%A4%E3%81%BE%E3%81%A7%E3%82%82%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
藤島慈,UR,約束の舞踏会,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%B4%84%E6%9D%9F%E3%81%AE%E8%88%9E%E8%B8%8F%E4%BC%9A%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88
